id,label,subsystem,effect_size,qvalue,type
SERALANaEx,L-alanine/L-serine Na-dependent exchange (Ser-L in),"Transport, Extracellular",-0.890286531804625,0.002578146094029445,reaction
P5CDm,1 pyrroline 5 carboxylate dehydrogenase  mitochondrial,Glutamate metabolism,-0.8718993353978431,0.013443572355340909,reaction
SERt4,L-serine via sodium symport,"Transport, Extracellular",0.8510394618793866,0.027698242517049318,reaction
EX_ocdca_e,Octadecanoate (n-C18:0) exchange,Extracellular exchange,0.8446355144765312,0.00844847892117465,reaction
FACOAL180,Fatty acid  CoA ligase  octadecanoate ,Fatty acid activation,-0.8446355144765312,0.00844847892117465,reaction
OCDCAt,Octadecanoate  n C180  transport in via uniport,"Transport, Extracellular",-0.8399215076240234,0.008838690589685037,reaction
PYK,Pyruvate kinase,Glycolysis/Gluconeogenesis,-0.8227265697355997,0.01840886787705203,reaction
CEPTE,Ethanolamine phosphotransferase,Glycerophospholipid Metabolism,0.7225020279893672,0.027698242517049318,reaction
PETHCT,Phosphoethanolamine cytidyltransferase,Glycerophospholipid Metabolism,0.7225020279893672,0.027698242517049318,reaction
PSSA2_hs,Phosphatidylserine synthase homo sapiens,Glycerophospholipid Metabolism,0.7225020279893672,0.027698242517049318,reaction
ETHAK,Ethanolamine kinase,Glycerophospholipid Metabolism,0.7225020279893672,0.027698242517049318,reaction
LEUtec,L-leucine transport via diffusion,"Transport, Extracellular",-0.7224779799916192,0.027698242517049318,reaction
GALUi,UTP-glucose-1-phosphate uridylyltransferase (irreversible),Galactose metabolism,0.7220311372799204,0.029856707065275045,reaction
ACALDtm,Acetaldehyde mitochondrial diffusion,"Transport, Mitochondrial",-0.7117088883805899,0.030485643844118088,reaction
ALDD2xm,Aldehyde dehydrogenase  acetylaldehyde  NAD   mitochondrial,Glycolysis/Gluconeogenesis,0.7117088883805899,0.030485643844118088,reaction
SERGLNNaEx,L-serine/L-glutamine Na-dependent exchange (Ser-L in),"Transport, Extracellular",0.711620004830486,0.030485643844118088,reaction
LGNCt,Fatty acid transport via diffusion,"Transport, Extracellular",0.6859922174269081,0.042491029244512035,reaction
FATP8t,Fatty acid electroneutral transport,"Transport, Extracellular",0.6859922174269081,0.042491029244512035,reaction
CSm,Citrate synthase,Citric Acid Cycle,-0.6787303936697759,0.046611973184700825,reaction
O2Stx,Superoxide anion transport via diffusion (peroxisome),"Transport, Peroxisomal",-0.6771329661335842,0.046611973184700825,reaction
SPODMx,"Superoxide dismutase, peroxisome",ROS Detoxification,-0.6771329661335835,0.046611973184700825,reaction
"Transport, Extracellular","Transport, Extracellular","Transport, Extracellular",,,subsystem
R Group Synthesis,R Group Synthesis,R Group Synthesis,,,subsystem
Fatty acid activation,Fatty acid activation,Fatty acid activation,,,subsystem
Extracellular exchange,Extracellular exchange,Extracellular exchange,,,subsystem
Glycolysis/Gluconeogenesis,Glycolysis/Gluconeogenesis,Glycolysis/Gluconeogenesis,,,subsystem
Fructose and Mannose Metabolism,Fructose and Mannose Metabolism,Fructose and Mannose Metabolism,,,subsystem
Arginine and Proline Metabolism,Arginine and Proline Metabolism,Arginine and Proline Metabolism,,,subsystem
Pyrimidine Biosynthesis,Pyrimidine Biosynthesis,Pyrimidine Biosynthesis,,,subsystem
Steroid Metabolism,Steroid Metabolism,Steroid Metabolism,,,subsystem
Nucleotides,Nucleotides,Nucleotides,,,subsystem
Sphingolipid Metabolism,Sphingolipid Metabolism,Sphingolipid Metabolism,,,subsystem
Pyruvate Metabolism,Pyruvate Metabolism,Pyruvate Metabolism,,,subsystem
CYP Metabolism,CYP Metabolism,CYP Metabolism,,,subsystem
Folate Metabolism,Folate Metabolism,Folate Metabolism,,,subsystem
"Fatty acid oxidation, peroxisome","Fatty acid oxidation, peroxisome","Fatty acid oxidation, peroxisome",,,subsystem
"Transport, Mitochondrial","Transport, Mitochondrial","Transport, Mitochondrial",,,subsystem
Oxidative Phosphorylation,Oxidative Phosphorylation,Oxidative Phosphorylation,,,subsystem
Glycerophospholipid Metabolism,Glycerophospholipid Metabolism,Glycerophospholipid Metabolism,,,subsystem
Glutamate metabolism,Glutamate metabolism,Glutamate metabolism,,,subsystem
Galactose metabolism,Galactose metabolism,Galactose metabolism,,,subsystem
Citric Acid Cycle,Citric Acid Cycle,Citric Acid Cycle,,,subsystem
"Transport, Peroxisomal","Transport, Peroxisomal","Transport, Peroxisomal",,,subsystem
ROS Detoxification,ROS Detoxification,ROS Detoxification,,,subsystem
