source,target,interaction,effect_size,pvalue,qvalue
HSD11B2r,Steroid Metabolism,in_pathway,5.226078672479258,5.8454136867180234e-08,3.6300018994518927e-06
HSD11B1r,Steroid Metabolism,in_pathway,-5.226078672479258,5.8454136867180234e-08,3.6300018994518927e-06
G3PD2m,Glycolysis/Gluconeogenesis,in_pathway,-5.089556326706982,7.850656749399019e-08,4.717991459396894e-06
CTPS1,Nucleotides,in_pathway,-5.051710336628587,7.347627251529142e-08,4.488075268720916e-06
HEX7,Fructose and Mannose Metabolism,in_pathway,4.181757022921556,5.812029316096534e-07,3.331634035657798e-05
CYTK7,Nucleotides,in_pathway,4.131998828093858,1.1489089101362163e-07,6.794975554234194e-06
ALAGLNexR,"Transport, Extracellular",in_pathway,-4.117225511273138,1.6162632300491588e-09,1.204439359032633e-07
THMDt5,"Transport, Extracellular",in_pathway,4.113361399333779,6.856414336038668e-07,3.870757547890921e-05
CYTK9,Nucleotides,in_pathway,4.038664624487562,3.8863436764173715e-09,2.6373305977657307e-07
P5CDm,Glutamate metabolism,in_pathway,3.9610858169330507,7.194400435697417e-07,4.0009456751356087e-05
FATP3t,"Transport, Extracellular",in_pathway,3.8420574176546363,1.3512327975037677e-06,7.296657106520346e-05
FRUt4,"Transport, Extracellular",in_pathway,3.727168841407243,1.8219964891299265e-06,9.173998538510955e-05
EX_fru_e,Extracellular exchange,in_pathway,-3.727168841407243,1.8219964891299265e-06,9.173998538510955e-05
DESAT16_2,Fatty acid elongation,in_pathway,-3.672641538815427,9.306474059915687e-07,5.0994003451832136e-05
SULFOX,Cysteine Metabolism,in_pathway,3.4557588029202515,3.8028725707879175e-06,0.0001840195220617634
EX_so4_e,Extracellular exchange,in_pathway,3.4557588029202515,3.8028725707879175e-06,0.0001840195220617634
DCMPDA,Pyrimidine Catabolism,in_pathway,3.1169046556900297,1.385265682538014e-07,8.064843645526e-06
ALAt4,"Transport, Extracellular",in_pathway,3.113399452982097,1.026456924086918e-05,0.00048412386065162737
ACACT1r_copy1,Cholesterol Metabolism,in_pathway,3.101993478590511,1.06239826281443e-05,0.0004948119909058208
FACOAL160,Fatty acid activation,in_pathway,-3.06576573655784,1.185823017350567e-05,0.0005454785879812608
CITtam,"Transport, Mitochondrial",in_pathway,2.861265942617274,3.4072465947820803e-06,0.00016927201082877374
NDPK7m,Nucleotides,in_pathway,-2.6853416918723525,1.5628876348589403e-06,8.201858207724524e-05
DM_dctp_m,Intracellular demand,in_pathway,-2.6853416918723525,1.5628876348589403e-06,8.201858207724524e-05
PGI,Glycolysis/Gluconeogenesis,in_pathway,-2.642431613232278,1.6431196894401324e-06,8.503144392852687e-05
CITtbm,"Transport, Mitochondrial",in_pathway,-2.5068461827079482,1.3938531139973313e-05,0.0006257224943077177
PEPCKm,Glycolysis/Gluconeogenesis,in_pathway,-2.5068461827079482,1.3938531139973313e-05,0.0006257224943077177
NDPK1,Nucleotides,in_pathway,-2.4739480801017613,7.458060644858516e-05,0.002346455427504537
NAHCO3_HCLt,"Transport, Extracellular",in_pathway,-2.412816221746935,0.00010160903758216639,0.002346455427504537
ICDHxm,Citric Acid Cycle,in_pathway,-2.4031229682709676,0.00010516856044196869,0.002346455427504537
EX_glyc__S_e,Extracellular exchange,in_pathway,-2.403122968141301,0.00010516856049046389,0.002346455427504537
HPYRR2x,Glyoxylate and Dicarboxylate Metabolism,in_pathway,-2.403122968141301,0.00010516856049046389,0.002346455427504537
GLYC_St,"Transport, Extracellular",in_pathway,-2.403122968141301,0.00010516856049046389,0.002346455427504537
EX_dgsn_e,Extracellular exchange,in_pathway,-2.403122968140523,0.00010516856049075462,0.002346455427504537
DGSNt,"Transport, Extracellular",in_pathway,2.403122968140523,0.00010516856049075462,0.002346455427504537
DM_dgtp_m,Intracellular demand,in_pathway,-2.403122968140476,0.00010516856049077271,0.002346455427504537
NDPK5m,Nucleotides,in_pathway,-2.403122968140476,0.00010516856049077271,0.002346455427504537
ASPNATm,Alanine and Aspartate Metabolism,in_pathway,-2.403122968139855,0.00010516856049100446,0.002346455427504537
NACASPAH,Alanine and Aspartate Metabolism,in_pathway,-2.403122968139855,0.00010516856049100446,0.002346455427504537
NACASPtm,"Transport, Mitochondrial",in_pathway,-2.403122968139855,0.00010516856049100446,0.002346455427504537
CYSSERNaEx,"Transport, Extracellular",in_pathway,-2.403122968139773,0.00010516856049103532,0.002346455427504537
SERtp,"Transport, Peroxisomal",in_pathway,-2.4031229681397552,0.00010516856049104174,0.002346455427504537
HPYRtp,"Transport, Peroxisomal",in_pathway,2.4031229681397552,0.00010516856049104174,0.002346455427504537
SPTix,"Glycine, Serine, and Threonine Metabolism",in_pathway,-2.4031229681397552,0.00010516856049104174,0.002346455427504537
AGTix,Alanine and Aspartate Metabolism,in_pathway,-2.4031229681397552,0.00010516856049104174,0.002346455427504537
MALTSULtm,"Transport, Mitochondrial",in_pathway,2.403122968139741,0.00010516856049104703,0.002346455427504537
FUMTSULtm,"Transport, Mitochondrial",in_pathway,-2.403122968139741,0.00010516856049104703,0.002346455427504537
ALASERNaEx,"Transport, Extracellular",in_pathway,-2.4031229681397073,0.00010516856049105992,0.002346455427504537
DURAD2,Pyrimidine Catabolism,in_pathway,2.4031229681396806,0.00010516856049106976,0.002346455427504537
BUP2,Pyrimidine Catabolism,in_pathway,-2.4031229681396806,0.00010516856049106976,0.002346455427504537
DHPM2,Pyrimidine Catabolism,in_pathway,-2.4031229681396806,0.00010516856049106976,0.002346455427504537
EX_3aib__D_e,Extracellular exchange,in_pathway,-2.4031229681396806,0.00010516856049106976,0.002346455427504537
D_3AIBt,"Transport, Extracellular",in_pathway,-2.4031229681396806,0.00010516856049106976,0.002346455427504537
ALACYSNaEx,"Transport, Extracellular",in_pathway,-2.403122968139618,0.00010516856049109349,0.002346455427504537
MECOALm,C5-Branched dibasic acid metabolism,in_pathway,2.4031229681396065,0.00010516856049109767,0.002346455427504537
MECOAS1m,C5-Branched dibasic acid metabolism,in_pathway,-2.4031229681396065,0.00010516856049109767,0.002346455427504537
FTHFLmi,Folate Metabolism,in_pathway,-2.4031229681396056,0.00010516856049109789,0.002346455427504537
