source,target,interaction,effect_size,pvalue,qvalue
PE_HStm,"Transport, Mitochondrial",in_pathway,1.34962899563235,1.836896192440467e-07,1.2007500373751409e-05
PSFLIPm,"Transport, Mitochondrial",in_pathway,-1.34962899563235,1.836896192440467e-07,1.2007500373751409e-05
PSDm_hs,Glycerophospholipid Metabolism,in_pathway,-1.34962899563235,1.836896192440467e-07,1.2007500373751409e-05
CDS,Glycerophospholipid Metabolism,in_pathway,-1.349628995632289,1.8368961924418419e-07,1.2007500373751409e-05
RTOT6,R Group Synthesis,in_pathway,-1.312865651634693,2.487936248481427e-07,1.5196804035806223e-05
HDD2COAtx,"Transport, Peroxisomal",in_pathway,1.312865651634693,2.487936248481427e-07,1.5196804035806223e-05
ARTFR61,R Group Synthesis,in_pathway,-1.312865651634693,2.487936248481427e-07,1.5196804035806223e-05
ACOAO7p,Fatty Acid Metabolism,in_pathway,-1.312865651634693,2.487936248481427e-07,1.5196804035806223e-05
ATPS4m,Oxidative Phosphorylation,in_pathway,-1.2999532723766998,4.0405004336790894e-07,2.4282104219174658e-05
ARTFR41,R Group Synthesis,in_pathway,-1.2190194552238387,1.3001778071124501e-06,7.689623030636491e-05
PGM,Glycolysis/Gluconeogenesis,in_pathway,1.1754880808332542,5.814616242312267e-06,0.0003234380879852831
ENO,Glycolysis/Gluconeogenesis,in_pathway,-1.175476054295746,5.815982795226509e-06,0.0003234380879852831
CTPS2,Pyrimidine Biosynthesis,in_pathway,-1.169129171501957,5.497107853197662e-06,0.0003151111363232998
PGK,Glycolysis/Gluconeogenesis,in_pathway,1.1631901562106348,6.7533016650090825e-06,0.0003594686000546263
GAPD,Glycolysis/Gluconeogenesis,in_pathway,-1.1631901562106348,6.7533016650090825e-06,0.0003594686000546263
RTOT4,R Group Synthesis,in_pathway,-1.1513421965788746,4.0054429613414704e-06,0.00023319188240559873
CYTK4,Nucleotides,in_pathway,-1.129914536295965,6.174321512602903e-06,0.0003383164993523297
EX_h2o2_e,Extracellular exchange,in_pathway,-1.1166252443521287,7.122145419352675e-06,0.0003737621666550432
METLEUex,"Transport, Extracellular",in_pathway,-1.11067126289254,7.791361049965313e-06,0.00040320293433570496
C3STDH1r,Cholesterol Metabolism,in_pathway,-1.1046603500040084,8.826645208126225e-06,0.0004505216444586071
PYK,Glycolysis/Gluconeogenesis,in_pathway,-1.0920702527823822,1.8494172963627263e-05,0.0009187905128330025
HEX1,Glycolysis/Gluconeogenesis,in_pathway,1.0893475913333621,1.1067213196440888e-05,0.0005572491401343074
ARGt5r,"Transport, Extracellular",in_pathway,-1.075439775361294,4.7768380540470047e-05,0.0021705486084608707
H2O2t,"Transport, Extracellular",in_pathway,1.031834977548605,2.8138821980342614e-05,0.0013795427723520602
PGI,Glycolysis/Gluconeogenesis,in_pathway,1.0278235043836286,3.0250575577028354e-05,0.0014638135662338656
CEPTC,Glycerophospholipid Metabolism,in_pathway,-1.026057204016575,4.0691549706199485e-05,0.001895208927566241
CHLPCTD,Glycerophospholipid Metabolism,in_pathway,-1.026057204016575,4.0691549706199485e-05,0.001895208927566241
CHOLK,Glycerophospholipid Metabolism,in_pathway,-1.026057204016575,4.0691549706199485e-05,0.001895208927566241
FACOAL140,Fatty acid activation,in_pathway,1.0221742341136106,5.183941357935008e-05,0.002299448273769743
ARTFR13,R Group Synthesis,in_pathway,1.0221742341136106,5.183941357935008e-05,0.002299448273769743
CYTK14,Nucleotides,in_pathway,1.0067392260329207,4.2873837424488716e-05,0.0019721965215264807
PROD2,Arginine and Proline Metabolism,in_pathway,-0.9896631955161621,5.412401484643286e-05,0.0023725421096212804
ARTPLM1,R Group Synthesis,in_pathway,-0.9772333605625021,7.863814591653245e-05,0.003328237805376841
CYOR_u10m,Oxidative Phosphorylation,in_pathway,-0.9752203919690546,6.782295493999549e-05,0.002938468954725851
PIt2m_2,,in_pathway,-0.9700219238026556,7.94989706598333e-05,0.003328237805376841
ADK3,Nucleotides,in_pathway,0.9688360453407042,7.695054028885542e-05,0.0032956058978882217
PROD2m,Arginine and Proline Metabolism,in_pathway,-0.9655738595523236,8.312478574926056e-05,0.003441366130019387
OCOAT1m,"Valine, Leucine, and Isoleucine Metabolism",in_pathway,0.9446196946552702,0.0001109631808276838,0.00454339353586758
O2ter,"Transport, Endoplasmic Reticular",in_pathway,-0.9404013911261331,0.0001151957810817795,0.0046654291338120695
HEX7,Fructose and Mannose Metabolism,in_pathway,-0.9320167474598058,0.00015527413052625588,0.006154802237668397
EX_glc__D_e,Extracellular exchange,in_pathway,-0.9306483292869546,0.00013663556201926966,0.005474237678320417
SRTNt6_2_r,"Transport, Extracellular",in_pathway,0.9296676079254755,0.0003013627197472287,0.011576056636888392
FAOXC180x,"Fatty acid oxidation, peroxisome",in_pathway,-0.9055560416481062,0.00019518650529026958,0.0076554201969636256
NADH2_u10m,Oxidative Phosphorylation,in_pathway,-0.8823169733120493,0.00027814757360434194,0.010795602700518521
MTHFD,Folate Metabolism,in_pathway,-0.8680206099926197,0.00035340825709889983,0.013436726183168374
FRUt4,"Transport, Extracellular",in_pathway,-0.8412546362695755,0.0006261888987887868,0.023331798368870196
EX_fru_e,Extracellular exchange,in_pathway,0.8412546362695755,0.0006261888987887868,0.023331798368870196
H2O2tp,"Transport, Peroxisomal",in_pathway,0.801469636057094,0.0008680417885177886,0.03202300697046812
PIt8,"Transport, Extracellular",in_pathway,-0.7968665510934717,0.0009313356640237484,0.03402114396227928
P5CRxm,Arginine and Proline Metabolism,in_pathway,-0.7823358487725502,0.0011522303688903182,0.041681653927042
MTHFD2i,Folate Metabolism,in_pathway,0.7773184024773481,0.0012125834392641528,0.043443133602867626
