id,label,subsystem,effect_size,qvalue,type
CTPS2,CTP synthase (glutamine),Pyrimidine Biosynthesis,6.778762030215603,2.6373305977657307e-07,reaction
L_LACt4r,L-lactate reversible transport via sodium symport,"Transport, Extracellular",6.438936836390962,4.387339650624473e-07,reaction
L_LACt2r,L lactate reversible transport via proton symport,"Transport, Extracellular",-6.438936836390962,4.387339650624473e-07,reaction
METtec,L-methionine transport via diffusion (extracellular to cytosol),"Transport, Extracellular",-5.736616567155405,1.26617744721142e-06,reaction
HSD11B2r,11-beta-hydroxysteroid dehydrogenase type 2,Steroid Metabolism,5.226078672479258,3.6300018994518927e-06,reaction
HSD11B1r,11-beta-hydroxysteroid dehydrogenase type 1,Steroid Metabolism,-5.226078672479258,3.6300018994518927e-06,reaction
G3PD2m,"Glycerol-3-phosphate dehydrogenase (FAD), mitochondrial",Glycolysis/Gluconeogenesis,-5.089556326706982,4.717991459396894e-06,reaction
CTPS1,CTP synthase  NH3 ,Nucleotides,-5.051710336628587,4.488075268720916e-06,reaction
HEX7,Hexokinase (D-fructose:ATP),Fructose and Mannose Metabolism,4.181757022921556,3.331634035657798e-05,reaction
CYTK7,"Cytidylate kinase (CMP,UTP)",Nucleotides,4.131998828093858,6.794975554234194e-06,reaction
ALAGLNexR,L-alanine/glutamine reversible exchange,"Transport, Extracellular",-4.117225511273138,1.204439359032633e-07,reaction
THMDt5,Thymidine transport (1:2 Na/Thymd cotransport),"Transport, Extracellular",4.113361399333779,3.870757547890921e-05,reaction
CYTK9,"Cytidylate kinase (CMP,dCTP)",Nucleotides,4.038664624487562,2.6373305977657307e-07,reaction
P5CDm,1 pyrroline 5 carboxylate dehydrogenase  mitochondrial,Glutamate metabolism,3.9610858169330507,4.0009456751356087e-05,reaction
FATP3t,Fatty acid electroneutral transport,"Transport, Extracellular",3.8420574176546363,7.296657106520346e-05,reaction
FRUt4,D-fructose transport  via sodium cotransport,"Transport, Extracellular",3.727168841407243,9.173998538510955e-05,reaction
EX_fru_e,D-Fructose exchange,Extracellular exchange,-3.727168841407243,9.173998538510955e-05,reaction
DESAT16_2,Palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA),Fatty acid elongation,-3.672641538815427,5.0994003451832136e-05,reaction
SULFOX,Sulfite oxidase,Cysteine Metabolism,3.4557588029202515,0.0001840195220617634,reaction
EX_so4_e,Sulfate exchange,Extracellular exchange,3.4557588029202515,0.0001840195220617634,reaction
DCMPDA,DCMP deaminase,Pyrimidine Catabolism,3.1169046556900297,8.064843645526e-06,reaction
ALAt4,Alanine-Sodium symporter,"Transport, Extracellular",3.113399452982097,0.00048412386065162737,reaction
ACACT1r_copy1,Acetyl-CoA C-acetyltransferase,Cholesterol Metabolism,3.101993478590511,0.0004948119909058208,reaction
FACOAL160,Fatty acid  CoA ligase  hexadecanoate ,Fatty acid activation,-3.06576573655784,0.0005454785879812608,reaction
CITtam,Citrate transport  mitochondrial,"Transport, Mitochondrial",2.861265942617274,0.00016927201082877374,reaction
NDPK7m,"ATP:dCDP phosphotransferase, mitochondria",Nucleotides,-2.6853416918723525,8.201858207724524e-05,reaction
DM_dctp_m,DCTP demand,Intracellular demand,-2.6853416918723525,8.201858207724524e-05,reaction
PGI,Glucose-6-phosphate isomerase,Glycolysis/Gluconeogenesis,-2.642431613232278,8.503144392852687e-05,reaction
CITtbm,Citrate transport  mitochondrial,"Transport, Mitochondrial",-2.5068461827079482,0.0006257224943077177,reaction
