source,target,interaction,effect_size,pvalue,qvalue
CO2tp,"Transport, Peroxisomal",in_pathway,1.6428243525690376,0.00015422783835306508,0.006246227453417287
MEVK1x,Cholesterol Metabolism,in_pathway,-1.6428243525690298,0.0001542278383530697,0.006246227453417287
CDS,Glycerophospholipid Metabolism,in_pathway,-1.6428243525688528,0.00015422783835332285,0.006246227453417287
PSDm_hs,Glycerophospholipid Metabolism,in_pathway,-1.6428243525687247,0.0001542278383533363,0.006246227453417287
PSFLIPm,"Transport, Mitochondrial",in_pathway,-1.6428243525687247,0.0001542278383533363,0.006246227453417287
PE_HStm,"Transport, Mitochondrial",in_pathway,1.6428243525687247,0.0001542278383533363,0.006246227453417287
3DSPHR,Sphingolipid Metabolism,in_pathway,-1.6428243525685993,0.00015422783835395112,0.006246227453417287
SMS,Sphingolipid Metabolism,in_pathway,-1.6428243525685993,0.00015422783835395112,0.006246227453417287
SERPT,Sphingolipid Metabolism,in_pathway,-1.6428243525685993,0.00015422783835395112,0.006246227453417287
DSAT,Sphingolipid Metabolism,in_pathway,-1.6428243525685993,0.00015422783835395112,0.006246227453417287
DGK1,Nucleotides,in_pathway,1.642824352568454,0.0001542278383538786,0.006246227453417287
CLS_hs,Glycerophospholipid Metabolism,in_pathway,-1.6428243525665585,0.0001542278383559824,0.006246227453417287
PYK,Glycolysis/Gluconeogenesis,in_pathway,-1.6131274227639176,3.927549960648482e-05,0.006246227453417287
PROD2,Arginine and Proline Metabolism,in_pathway,-1.5484413530454801,1.321905470687526e-09,2.4627098918908607e-06
O2ter,"Transport, Endoplasmic Reticular",in_pathway,-1.515578434095642,0.00025276842954043236,0.009143836587064573
OCOAT1m,"Valine, Leucine, and Isoleucine Metabolism",in_pathway,1.4991738705191744,2.3660966713243645e-06,0.0017632152394709162
RTOT4,R Group Synthesis,in_pathway,-1.4898275057486188,0.00010833302439885079,0.006246227453417287
GALt4,"Transport, Extracellular",in_pathway,-1.433550867610285,0.0009679328419355353,0.02870088549653814
NACASPAH,Alanine and Aspartate Metabolism,in_pathway,-1.4327993807239956,0.0009859670809324258,0.02870088549653814
NACASPtm,"Transport, Mitochondrial",in_pathway,-1.4327993807239956,0.0009859670809324258,0.02870088549653814
ASPNATm,Alanine and Aspartate Metabolism,in_pathway,-1.4327993807239956,0.0009859670809324258,0.02870088549653814
ORETNF2,Vitamin A Metabolism,in_pathway,-1.4327993807239552,0.0009859670809328955,0.02870088549653814
ALACYSNaEx,"Transport, Extracellular",in_pathway,-1.4327993807239432,0.0009859670809330477,0.02870088549653814
RAI4,Vitamin A Metabolism,in_pathway,1.4327993807239379,0.0009859670809331134,0.02870088549653814
LPS2,Triacylglycerol Synthesis,in_pathway,-1.4327993807239354,0.0009859670809331405,0.02870088549653814
ADPT,Salvage Pathway,in_pathway,-1.3904792405217694,0.00033524929330554134,0.01145998960418759
PGM,Glycolysis/Gluconeogenesis,in_pathway,1.3754917524101278,0.0005238035737101742,0.016972979135632726
ENO,Glycolysis/Gluconeogenesis,in_pathway,-1.3754908503528824,0.0005238573807294051,0.016972979135632726
ARTFR34,R Group Synthesis,in_pathway,-1.3749038482523217,0.0017750549101393433,0.047926482573762266
PROD2m,Arginine and Proline Metabolism,in_pathway,-1.3353969512701749,0.00010062742195477316,0.006246227453417287
NAt,"Transport, Extracellular",in_pathway,1.3050760652920115,6.190842302208952e-07,0.0007689026139343518
ASPTAm,Alanine and Aspartate Metabolism,in_pathway,-1.3017899272373556,8.199460490986813e-05,0.006246227453417287
ASPGLUm,"Transport, Mitochondrial",in_pathway,1.2963374561042436,9.228194152731109e-05,0.006246227453417287
ASPTA,Alanine and Aspartate Metabolism,in_pathway,1.1374778038288473,6.0608177047904955e-05,0.006246227453417287
PSSA1_hs,Glycerophospholipid Metabolism,in_pathway,-1.1337233308745158,7.1714979155883745e-06,0.004268147262057999
MDH,Citric Acid Cycle,in_pathway,-1.065515996175376,0.0003137109789685451,0.011124251411637963
RADH4,Vitamin A Metabolism,in_pathway,-1.0631736392450346,0.0009607355877255392,0.02870088549653814
DURIK1,Nucleotides,in_pathway,-0.9977421214548653,4.0225650598077726e-05,0.006246227453417287
DURIPP,Nucleotides,in_pathway,0.9977421214548653,4.0225650598077726e-05,0.006246227453417287
CHOLt4,"Transport, Extracellular",in_pathway,-0.9554474604141724,1.1579600247962871e-05,0.004268147262057999
DHCRD1,Sphingolipid Metabolism,in_pathway,-0.9260483604627824,2.5886147770611732e-05,0.005569225448050853
ARGt5r,"Transport, Extracellular",in_pathway,-0.9196119174385566,2.144687623256518e-05,0.0049944413026586166
CHOLtu,"Transport, Extracellular",in_pathway,0.903444608368714,2.729000496299938e-05,0.005569225448050853
ARTFR42,R Group Synthesis,in_pathway,0.9002120179361569,2.839916358372684e-05,0.005569225448050853
TYRCBOX,Tyrosine metabolism,in_pathway,-0.8988927969855807,0.00016598908169289132,0.006376034210182609
HPACtr,"Transport, Extracellular",in_pathway,-0.8988927969855807,0.00016598908169289132,0.006376034210182609
4HOXPACDOX_NADP,Tyrosine metabolism,in_pathway,-0.8988927969855807,0.00016598908169289132,0.006376034210182609
TYROXDAc,Tyrosine metabolism,in_pathway,-0.8988927969855807,0.00016598908169289132,0.006376034210182609
EX_4hphac_e,Extracellular exchange,in_pathway,-0.8988927969855807,0.00016598908169289132,0.006376034210182609
CITtam,"Transport, Mitochondrial",in_pathway,0.8795341905818488,0.0016928534509266342,0.047071432523527156
EX_ocdca_e,Extracellular exchange,in_pathway,0.8467230459628848,0.00011943911398144881,0.006246227453417287
FACOAL180,Fatty acid activation,in_pathway,-0.8467230459628848,0.00011943911398144881,0.006246227453417287
CPK1,Nucleotides,in_pathway,-0.8432602906102307,7.131170333978712e-05,0.006246227453417287
TRDR,Nucleotides,in_pathway,-0.8305481122470436,0.0003776407075835702,0.012563297111217701
GK1,Nucleotides,in_pathway,-0.8305481122470436,0.0003776407075835702,0.012563297111217701
RNDR2,Nucleotides,in_pathway,-0.8305481122470436,0.0003776407075835702,0.012563297111217701
NCCt,"Transport, Extracellular",in_pathway,0.8213692243240797,0.00033118363493119684,0.011425835405126292
HISt4,"Transport, Extracellular",in_pathway,0.8084260987978258,0.00012355651596009977,0.006246227453417287
CYSASNNaEx,"Transport, Extracellular",in_pathway,0.8084260987978238,0.00012355651596010305,0.006246227453417287
HSD17B7r,Steroid Metabolism,in_pathway,0.8084260987978237,0.00012355651596010375,0.006246227453417287
NRVNCt,"Transport, Extracellular",in_pathway,0.8084260987978226,0.00012355651596010521,0.006246227453417287
FATP9t,"Transport, Extracellular",in_pathway,0.8084260987978226,0.00012355651596010521,0.006246227453417287
LALDO2x,Pyruvate Metabolism,in_pathway,0.8084260987978188,0.00012355651596011286,0.006246227453417287
LALDD,Pyruvate Metabolism,in_pathway,0.8084260987978188,0.00012355651596011286,0.006246227453417287
OCDCAt,"Transport, Extracellular",in_pathway,-0.7849907911833873,0.00031945649518122976,0.011124251411637963
HSD11B1r,Steroid Metabolism,in_pathway,-0.7813711789014041,0.0001892990699531148,0.0071245286327808665
HSD11B2r,Steroid Metabolism,in_pathway,0.7813711789014041,0.0001892990699531148,0.0071245286327808665
MOGAT,Triacylglycerol Synthesis,in_pathway,-0.7806992031675729,0.0001938741328746929,0.007152227911793127
ARTCOAL1,R Group Synthesis,in_pathway,-0.7806992031675729,0.0001938741328746929,0.007152227911793127
DCMPDA,Pyrimidine Catabolism,in_pathway,0.7581591004891872,0.0003852797193254313,0.012704002072624399
ALDD2xm,Glycolysis/Gluconeogenesis,in_pathway,0.7480334883316244,0.00031850710804912633,0.011124251411637963
ACALDtm,"Transport, Mitochondrial",in_pathway,-0.7480334883316244,0.00031850710804912633,0.011124251411637963
KHK,Fructose and Mannose Metabolism,in_pathway,-0.7075220782731428,0.0005925813770547194,0.018711510261914276
TRIOK,Fructose and Mannose Metabolism,in_pathway,-0.7075220782731428,0.0005925813770547194,0.018711510261914276
FBA2,Fructose and Mannose Metabolism,in_pathway,-0.7075220782731428,0.0005925813770547194,0.018711510261914276
DM_dctp_m,Intracellular demand,in_pathway,-0.6803131796725014,0.001339584361723527,0.03781281311955956
NDPK7m,Nucleotides,in_pathway,-0.6803131796725014,0.001339584361723527,0.03781281311955956
FAH2,CYP Metabolism,in_pathway,0.6587063218554391,0.0017527674988447755,0.0476701583992382
EX_whttdca_e,Extracellular exchange,in_pathway,0.6587063218554391,0.0017527674988447755,0.0476701583992382
WHTTDCAte,"Transport, Extracellular",in_pathway,-0.6587063218554391,0.0017527674988447755,0.0476701583992382
CYSALANaEx,"Transport, Extracellular",in_pathway,-0.6565905077214566,0.001357810669372141,0.03803911694797442
FATP5t,"Transport, Extracellular",in_pathway,0.6553815951789937,0.0018292032971926645,0.04868293918099906
ARACHDt2,"Transport, Extracellular",in_pathway,0.6553815951789937,0.0018292032971926645,0.04868293918099906
