id,label,subsystem,effect_size,qvalue,type
BIOMASS_mm_1_no_glygln,Biomass mm 1 no glygln,Biomass and maintenance functions,-1.0143593234731167,0.00016971292000614763,reaction
PPAP,Phosphatidic acid phosphatase,Triacylglycerol Synthesis,-1.0143593234731143,0.00016971292000614763,reaction
AGPAT1,1-acylglycerol-3-phosphate O-acyltransferase 1,Triacylglycerol Synthesis,-1.0143593234731096,0.00016971292000614763,reaction
GPAM_hs,Glycerol-3-phosphate acyltransferase,Triacylglycerol Synthesis,-1.0143593234731096,0.00016971292000614763,reaction
ADPtx,"ADP transporter, peroxisomal","Transport, Peroxisomal",1.0143593234731092,0.00016971292000614763,reaction
ATPtx,"ATP transporter, peroxisomal","Transport, Peroxisomal",-1.0143593234731092,0.00016971292000614763,reaction
EX_ile__L_e,L-Isoleucine exchange,Extracellular exchange,1.014359323473107,0.00016971292000614763,reaction
ILEtec,L-isoleucine transport via diffusion (extracellular to cytosol),"Transport, Extracellular",-1.014359323473107,0.00016971292000614763,reaction
NADPtxu,"NADP transport, glyoxysome","Transport, Peroxisomal",-1.0143593234730988,0.00016971292000614763,reaction
NADPHtxu,"NADPH transport, glyoxysome","Transport, Peroxisomal",-1.0143593234730888,0.00016971292000614763,reaction
URIK1,Uridine kinase  ATPUridine ,Pyrimidine Biosynthesis,-1.0143593234730723,0.00016971292000614763,reaction
PYNP2r,Pyrimidine-nucleoside phosphorylase (uracil),Pyrimidine Catabolism,1.0143593234730723,0.00016971292000614763,reaction
EX_asn__L_e,L-Asparagine exchange,Extracellular exchange,1.01435932347306,0.00016971292000614763,reaction
PPItx,"Diphosphate transporter, peroxisome","Transport, Peroxisomal",1.0143593234730592,0.00016971292000614763,reaction
GRTTx,Geranyltranstransferase,Cholesterol Metabolism,-1.0143593234730524,0.00016971292000614763,reaction
FRDPtr,"Lipid, flip-flop intracellular transport","Transport, Peroxisomal",-1.0143593234730524,0.00016971292000614763,reaction
CO2ter,CO2 endoplasmic reticular transport via diffusion,"Transport, Endoplasmic Reticular",1.0143593234730524,0.00016971292000614763,reaction
IPDDIx,Isopentenyl-diphosphate D-isomerase,Cholesterol Metabolism,-1.0143593234730524,0.00016971292000614763,reaction
DMATTx,Dimethylallyltranstransferase,Cholesterol Metabolism,-1.0143593234730524,0.00016971292000614763,reaction
PPItr,"Diphosphate transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",1.0143593234730524,0.00016971292000614763,reaction
HMGCOARx,Hydroxymethylglutaryl CoA reductase (ir),Cholesterol Metabolism,-1.0143593234730475,0.00016971292000614763,reaction
CO2tp,CO2 peroxisomal transport,"Transport, Peroxisomal",1.0143593234730228,0.00016971292000614763,reaction
PMEVKx,Phosphomevalonate kinase,Cholesterol Metabolism,-1.0143593234730228,0.00016971292000614763,reaction
MEVK1x,Mevalonate kinase (atp),Cholesterol Metabolism,-1.0143593234730228,0.00016971292000614763,reaction
DPMVDx,Diphosphomevalonate decarboxylase,Cholesterol Metabolism,-1.0143593234730228,0.00016971292000614763,reaction
PItx,"Phosphate transporter, peroxisome","Transport, Peroxisomal",1.0143593234730228,0.00016971292000614763,reaction
EX_chol_e,Choline exchange,Extracellular exchange,1.0143593234729904,0.00016971292000614763,reaction
C4STMO1r,"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)",Cholesterol Metabolism,-1.014359323472942,0.00016971292000614763,reaction
C3STKR2r,C-3 sterol keto reductase (zymosterol),Cholesterol Metabolism,-1.014359323472942,0.00016971292000614763,reaction
SQLEr,Squalene epoxidase  endoplasmic reticular  NADP ,Cholesterol Metabolism,-1.014359323472942,0.00016971292000614763,reaction
CHSTEROLt3,Cholesterol intracellular transport,"Transport, Mitochondrial",1.014359323472942,0.00016971292000614763,reaction
SQLSr,Squalene synthase,Cholesterol Metabolism,-1.014359323472942,0.00016971292000614763,reaction
FORtr,"FOR transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",1.014359323472942,0.00016971292000614763,reaction
CHSTEROLt2,Cholesterol intracellular transport,"Transport, Mitochondrial",-1.014359323472942,0.00016971292000614763,reaction
LNSTLSr,Lanosterol synthase,Cholesterol Metabolism,-1.014359323472942,0.00016971292000614763,reaction
C14STRr,C-14 sterol reductase,Cholesterol Metabolism,-1.014359323472942,0.00016971292000614763,reaction
FADtru,"FAD transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",-1.014359323472942,0.00016971292000614763,reaction
FADH2tru,"FADH2 transporter, endoplasmic reticulum","Transport, Endoplasmic Reticular",-1.014359323472942,0.00016971292000614763,reaction
LNS14DMr,Cytochrome P450 lanosterol 14-alpha-demethylase,Cholesterol Metabolism,-1.014359323472942,0.00016971292000614763,reaction
PSFLIPm,Phosphatidylserine flippase,"Transport, Mitochondrial",-1.014359323472824,0.00016971292000614763,reaction
PSDm_hs,Phosphatidylserine decarboxylase,Glycerophospholipid Metabolism,-1.014359323472824,0.00016971292000614763,reaction
PE_HStm,Phosphatidylethanolamine scramblase,"Transport, Mitochondrial",1.014359323472824,0.00016971292000614763,reaction
CDS,Phosphatidate cytidylyltransferase,Glycerophospholipid Metabolism,-1.014359323472656,0.00016971292000614763,reaction
