source,target,interaction,effect_size,pvalue,qvalue
EX_ocdca_e,Extracellular exchange,in_pathway,0.8446355144765312,0.00011790684484731126,0.00844847892117465
FACOAL180,Fatty acid activation,in_pathway,-0.8446355144765312,0.00011790684484731126,0.00844847892117465
OCDCAt,"Transport, Extracellular",in_pathway,-0.8399215076240234,0.00012572479904812318,0.008838690589685037
PYK,Glycolysis/Gluconeogenesis,in_pathway,-0.8227265697355997,0.00027173583822808953,0.01840886787705203
CEPTE,Glycerophospholipid Metabolism,in_pathway,0.7225020279893672,0.00047094818484577243,0.027698242517049318
PETHCT,Glycerophospholipid Metabolism,in_pathway,0.7225020279893672,0.00047094818484577243,0.027698242517049318
PSSA2_hs,Glycerophospholipid Metabolism,in_pathway,0.7225020279893672,0.00047094818484577243,0.027698242517049318
ETHAK,Glycerophospholipid Metabolism,in_pathway,0.7225020279893672,0.00047094818484577243,0.027698242517049318
LEUtec,"Transport, Extracellular",in_pathway,-0.7224779799916192,0.00047576154618656906,0.027698242517049318
GALUi,Galactose metabolism,in_pathway,0.7220311372799204,0.0005208496938386683,0.029856707065275045
ACALDtm,"Transport, Mitochondrial",in_pathway,-0.7117088883805899,0.0005556119964265947,0.030485643844118088
ALDD2xm,Glycolysis/Gluconeogenesis,in_pathway,0.7117088883805899,0.0005556119964265947,0.030485643844118088
SERGLNNaEx,"Transport, Extracellular",in_pathway,0.711620004830486,0.0005563670910896484,0.030485643844118088
LGNCt,"Transport, Extracellular",in_pathway,0.6859922174269081,0.0008210826907152084,0.042491029244512035
FATP8t,"Transport, Extracellular",in_pathway,0.6859922174269081,0.0008210826907152084,0.042491029244512035
CSm,Citric Acid Cycle,in_pathway,-0.6787303936697759,0.000915989292859623,0.046611973184700825
O2Stx,"Transport, Peroxisomal",in_pathway,-0.6771329661335842,0.0009382442267451796,0.046611973184700825
SPODMx,ROS Detoxification,in_pathway,-0.6771329661335835,0.0009382442267451856,0.046611973184700825
