id,label,subsystem,effect_size,qvalue,type
3DSPHR,3 Dehydrosphinganine reductase,Sphingolipid Metabolism,-1.3496289956323593,1.2007500373751409e-05,reaction
DSAT,Dihydrosphingosine N-acyltransferase,Sphingolipid Metabolism,-1.3496289956323593,1.2007500373751409e-05,reaction
SERPT,Serine C palmitoyltransferase,Sphingolipid Metabolism,-1.3496289956323593,1.2007500373751409e-05,reaction
PE_HStm,Phosphatidylethanolamine scramblase,"Transport, Mitochondrial",1.34962899563235,1.2007500373751409e-05,reaction
PSFLIPm,Phosphatidylserine flippase,"Transport, Mitochondrial",-1.34962899563235,1.2007500373751409e-05,reaction
PSDm_hs,Phosphatidylserine decarboxylase,Glycerophospholipid Metabolism,-1.34962899563235,1.2007500373751409e-05,reaction
CDS,Phosphatidate cytidylyltransferase,Glycerophospholipid Metabolism,-1.349628995632289,1.2007500373751409e-05,reaction
RTOT6,R total flux,R Group Synthesis,-1.312865651634693,1.5196804035806223e-05,reaction
HDD2COAtx,Hdd2coa intracellular transport,"Transport, Peroxisomal",1.312865651634693,1.5196804035806223e-05,reaction
ARTFR61,R group artificial flux,R Group Synthesis,-1.312865651634693,1.5196804035806223e-05,reaction
ACOAO7p,Acyl CoA oxidase  hexadecanoyl CoA   peroxisomal,Fatty Acid Metabolism,-1.312865651634693,1.5196804035806223e-05,reaction
ATPS4m,ATP synthase (four protons for one ATP),Oxidative Phosphorylation,-1.2999532723766998,2.4282104219174658e-05,reaction
ARTFR41,R group artificial flux,R Group Synthesis,-1.2190194552238387,7.689623030636491e-05,reaction
PGM,Phosphoglycerate mutase,Glycolysis/Gluconeogenesis,1.1754880808332542,0.0003234380879852831,reaction
ENO,Enolase,Glycolysis/Gluconeogenesis,-1.175476054295746,0.0003234380879852831,reaction
CTPS2,CTP synthase (glutamine),Pyrimidine Biosynthesis,-1.169129171501957,0.0003151111363232998,reaction
PGK,Phosphoglycerate kinase,Glycolysis/Gluconeogenesis,1.1631901562106348,0.0003594686000546263,reaction
GAPD,Glyceraldehyde-3-phosphate dehydrogenase,Glycolysis/Gluconeogenesis,-1.1631901562106348,0.0003594686000546263,reaction
RTOT4,R total flux,R Group Synthesis,-1.1513421965788746,0.00023319188240559873,reaction
CYTK4,Cytidylate kinase (dCMP)(GTP),Nucleotides,-1.129914536295965,0.0003383164993523297,reaction
EX_h2o2_e,Hydrogen peroxide exchange,Extracellular exchange,-1.1166252443521287,0.0003737621666550432,reaction
METLEUex,Methionine/Leucine exchange (Met in),"Transport, Extracellular",-1.11067126289254,0.00040320293433570496,reaction
C3STDH1r,C-3 sterol dehydrogenase (4-methylzymosterol),Cholesterol Metabolism,-1.1046603500040084,0.0004505216444586071,reaction
PYK,Pyruvate kinase,Glycolysis/Gluconeogenesis,-1.0920702527823822,0.0009187905128330025,reaction
HEX1,Hexokinase (D-glucose:ATP),Glycolysis/Gluconeogenesis,1.0893475913333621,0.0005572491401343074,reaction
