column,group,dataset,full_name,PC1,PC2,PC3,PC4,PC5
SCD_GSE101657_Control_SCD_0_Flux,SCD,GSE101657,SCD_GSE101657_Control_SCD_0,4.3329206023545614,2.730771081090441,-0.4216612905978708,1.9468677510032206,-0.031338752918165555
SCD_GSE101657_Control_SCD_1_Flux,SCD,GSE101657,SCD_GSE101657_Control_SCD_1,7.548699602548894,-2.445137826082755,-4.170108195718217,-1.2784646897626006,-7.489662125574582
SCD_GSE101657_Control_SCD_2_Flux,SCD,GSE101657,SCD_GSE101657_Control_SCD_2,3.8996080798393,6.585776049555258,-6.457926393851865,5.209759506719958,-1.819485839568211
SCD_GSE101657_Control_SCD_3_Flux,SCD,GSE101657,SCD_GSE101657_Control_SCD_3,9.107830565284463,1.5832025333319348,-5.733174056911007,-2.2038796239806215,-2.509561130605174
SCD_GSE101657_Control_SCD_4_Flux,SCD,GSE101657,SCD_GSE101657_Control_SCD_4,6.952979036532635,0.8351935874640337,-5.151427147086724,-0.3363725551335286,3.9217802224585787
SCD_GSE159090_GSM4819135_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819135_SCD_Male,6.063771346716813,-1.3326998302373196,2.8013598753955686,2.4818838862533714,-4.072876834761194
SCD_GSE159090_GSM4819136_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819136_SCD_Male,8.629774476933099,3.9092895346786687,0.9926407554825695,5.2050440280616215,-1.8620977835484533
SCD_GSE159090_GSM4819149_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819149_SCD_Male,7.812601873952935,4.585130279245534,1.9749850110540181,5.969103468790061,-3.8990772981579984
SCD_GSE159090_GSM4819150_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819150_SCD_Male,8.728616420371772,4.574096924949362,-0.14105745703991035,6.120292029441605,-3.590203075290623
SCD_GSE159090_GSM4819161_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819161_SCD_Male,9.150784973186378,2.097814676436327,4.965083911875815,9.88248029650885,-1.718757077107742
SCD_GSE159090_GSM4819166_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819166_SCD_Male,6.896732436877517,6.816311476518471,2.5610523322476437,7.357106806992801,-0.7557992492516366
SCD_GSE159090_GSM4819171_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819171_SCD_Male,8.581633638410198,5.085842696614398,2.21747528795586,6.695984742345395,-3.8264748996832365
SCD_GSE159090_GSM4819179_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819179_SCD_Male,8.041029857248539,7.308977728917764,2.5236280913520384,8.081708975608299,-3.238813639209517
SCD_GSE159090_GSM4819186_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819186_SCD_Male,10.127939072928386,6.197688753005601,2.6168244344169436,8.843813765868628,-6.666412389968451
