reaction_id,reaction_name,subsystem,category,n_cell_types,primary_driver,secondary_drivers,all_cell_types
FACOAL1832,Alpha-Linolenic acid:CoA ligase (AMP-forming),Fatty acid activation,MULTI_CELLULAR,19,LECs,"Cx3cr1+, Ccr2+ MdM; Cd207-, Trem2+ Mo-KC","LECs; Hepatocytes; qHSCs; Cd207+, Trem2+ Mo-KC; Timd4+ resKC; cAMP qHSCs; Cd207-, Trem2+ Mo-KC; Cx3cr1+, Ccr2+ MdM; Macrophages; Dendrites; Ly6c2+, Ccr2+ Mo; T cells; Cycling; B cells; Trem2+, Spp1+ MdM; Ly6c2-, Spn+ Mo; Transitioning Mo; DCs; Mast cells"
FUM,Fumarase,Citric Acid Cycle,MULTI_CELLULAR,9,Dendrites,"Cx3cr1+, Ccr2+ MdM; qHSCs","qHSCs; cAMP qHSCs; Cd207-, Trem2+ Mo-KC; Cx3cr1+, Ccr2+ MdM; Dendrites; MCs; Cycling; Trem2+, Spp1+ MdM; DCs"
GLCt2,D-glucose transport in via proton symport,"Transport, Extracellular",NON_CELLULAR,0,NONE,,
GLDBRAN,Glycogen debranching enzyme,Starch and Sucrose Metabolism,MULTI_CELLULAR,7,qHSCs,aHSCs; Neutrophiles,qHSCs; Cholangiocytes; cAMP qHSCs; aHSCs; MCs; Neutrophiles; Mast cells
GLGNS1,Glycogen synthase (ggn -> glygn1),Starch and Sucrose Metabolism,MULTI_CELLULAR,7,qHSCs,aHSCs; Neutrophiles,qHSCs; Cholangiocytes; cAMP qHSCs; aHSCs; MCs; Neutrophiles; Mast cells
GLPASE1,Glycogen phosphorylase (glygn2 -> dxtrn),Starch and Sucrose Metabolism,MULTI_CELLULAR,7,qHSCs,aHSCs; Neutrophiles,qHSCs; Cholangiocytes; cAMP qHSCs; aHSCs; MCs; Neutrophiles; Mast cells
GLPASE2,Glycogen phosphorylase (amyls -> glc-D),Starch and Sucrose Metabolism,MULTI_CELLULAR,7,qHSCs,aHSCs; Neutrophiles,qHSCs; Cholangiocytes; cAMP qHSCs; aHSCs; MCs; Neutrophiles; Mast cells
GGNG,Glycogenin self-glucosylation,Starch and Sucrose Metabolism,MULTI_CELLULAR,7,qHSCs,aHSCs; Neutrophiles,qHSCs; Cholangiocytes; cAMP qHSCs; aHSCs; MCs; Neutrophiles; Mast cells
GLBRAN,"1,4-alpha-glucan branching enzyme (glygn1 -> glygn2)",Starch and Sucrose Metabolism,MULTI_CELLULAR,7,qHSCs,aHSCs; Neutrophiles,qHSCs; Cholangiocytes; cAMP qHSCs; aHSCs; MCs; Neutrophiles; Mast cells
GLUt2m,"Amino acid transporter (glu-L), mitochondrial","Transport, Mitochondrial",MULTI_CELLULAR,13,LECs,qHSCs; aHSCs,"LECs; qHSCs; Cd207+, Trem2+ Mo-KC; Cholangiocytes; cAMP qHSCs; aHSCs; Cx3cr1+, Ccr2+ MdM; MCs; Neutrophiles; Trem2+, Spp1+ MdM; Transitioning Mo; DCs; Mast cells"
HDCEAt,Hexadecenoate  n C161  transport in via uniport,"Transport, Extracellular",COOPERATIVE,2,"Cd207-, Trem2+ Mo-KC",Timd4+ resKC,"Timd4+ resKC; Cd207-, Trem2+ Mo-KC"
HEX1,Hexokinase (D-glucose:ATP),Glycolysis/Gluconeogenesis,MULTI_CELLULAR,17,Hepatocytes,qHSCs; T cells,"Hepatocytes; qHSCs; Cd207+, Trem2+ Mo-KC; Cholangiocytes; cAMP qHSCs; aHSCs; Cd207-, Trem2+ Mo-KC; Ly6c2+, Ccr2+ Mo; MCs; T cells; Cycling; B cells; Neutrophiles; Ly6c2-, Spn+ Mo; Transitioning Mo; DCs; Mast cells"
ALATA_L,L-alanine transaminase,Glutamate metabolism,MULTI_CELLULAR,13,LECs,qHSCs; Cholangiocytes,"LECs; qHSCs; Cd207+, Trem2+ Mo-KC; Cholangiocytes; cAMP qHSCs; aHSCs; Dendrites; MCs; Neutrophiles; Trem2+, Spp1+ MdM; Transitioning Mo; DCs; Mast cells"
ALAt2r,L alanine reversible transport via proton symport,"Transport, Extracellular",MULTI_CELLULAR,10,LECs,qHSCs; aHSCs,"LECs; qHSCs; Cd207+, Trem2+ Mo-KC; Cholangiocytes; cAMP qHSCs; aHSCs; MCs; Neutrophiles; Transitioning Mo; Mast cells"
