ReactionID,ReactionName,Subsystem,MetaboliteID,MetaboliteName,Coefficient,Diff(HFD-SCD),Ratio(HFD/SCD)
DESAT18_10,Fatty acyl-CoA desaturase (n-C18:2CoA -> n-C18:3CoA),Fatty acid elongation,nad_c,Nicotinamide adenine dinucleotide,1.0,0.2818468031756079,281846803175.608
DESAT18_10,Fatty acyl-CoA desaturase (n-C18:2CoA -> n-C18:3CoA),Fatty acid elongation,nadh_c,Nicotinamide adenine dinucleotide - reduced,-1.0,0.2818468031756079,281846803175.608
DESAT18_10,Fatty acyl-CoA desaturase (n-C18:2CoA -> n-C18:3CoA),Fatty acid elongation,o2_c,O2 O2,-1.0,0.2818468031756079,281846803175.608
DESAT18_10,Fatty acyl-CoA desaturase (n-C18:2CoA -> n-C18:3CoA),Fatty acid elongation,strdnccoa_c,Stearidonyl coenzyme A,1.0,0.2818468031756079,281846803175.608
FACOAL1832,Alpha-Linolenic acid:CoA ligase (AMP-forming),Fatty acid activation,amp_c,AMP C10H12N5O7P,1.0,0.2818468031756079,281846803175.608
FACOAL1832,Alpha-Linolenic acid:CoA ligase (AMP-forming),Fatty acid activation,atp_c,ATP C10H12N5O13P3,-1.0,0.2818468031756079,281846803175.608
FACOAL1832,Alpha-Linolenic acid:CoA ligase (AMP-forming),Fatty acid activation,coa_c,Coenzyme A,-1.0,0.2818468031756079,281846803175.608
FACOAL1832,Alpha-Linolenic acid:CoA ligase (AMP-forming),Fatty acid activation,lnlnca_c,"Alpha-Linolenic acid, C18:3, n-3",-1.0,0.2818468031756079,281846803175.608
FACOAL1832,Alpha-Linolenic acid:CoA ligase (AMP-forming),Fatty acid activation,lnlncacoa_c,Alpha-Linolenoyl-CoA,1.0,0.2818468031756079,281846803175.608
FACOAL1832,Alpha-Linolenic acid:CoA ligase (AMP-forming),Fatty acid activation,ppi_c,Diphosphate,1.0,0.2818468031756079,281846803175.608
FACOAL184,Fatty-acid--CoA ligase,Fatty acid activation,amp_c,AMP C10H12N5O7P,1.0,-0.2182456637539691,218245663753.9691
FACOAL184,Fatty-acid--CoA ligase,Fatty acid activation,atp_c,ATP C10H12N5O13P3,-1.0,-0.2182456637539691,218245663753.9691
FACOAL184,Fatty-acid--CoA ligase,Fatty acid activation,coa_c,Coenzyme A,-1.0,-0.2182456637539691,218245663753.9691
FACOAL184,Fatty-acid--CoA ligase,Fatty acid activation,ppi_c,Diphosphate,1.0,-0.2182456637539691,218245663753.9691
FACOAL184,Fatty-acid--CoA ligase,Fatty acid activation,strdnc_c,"Stearidonic acid C18:4, n-3",-1.0,-0.2182456637539691,218245663753.9691
FACOAL184,Fatty-acid--CoA ligase,Fatty acid activation,strdnccoa_c,Stearidonyl coenzyme A,1.0,-0.2182456637539691,218245663753.9691
FUM,Fumarase,Citric Acid Cycle,fum_c,Fumarate,-1.0,-0.2226137597754038,1.9062359611270785
FUM,Fumarase,Citric Acid Cycle,h2o_c,H2O H2O,-1.0,-0.2226137597754038,1.9062359611270785
FUM,Fumarase,Citric Acid Cycle,mal__L_c,L-Malate,1.0,-0.2226137597754038,1.9062359611270785
FUMAC,Fumarylacetoacetase,Tyrosine metabolism,4fumacac_c,4 Fumarylacetoacetate C8H6O6,-1.0,-0.2926531421587364,0.0
FUMAC,Fumarylacetoacetase,Tyrosine metabolism,acac_c,Acetoacetate,1.0,-0.2926531421587364,0.0
FUMAC,Fumarylacetoacetase,Tyrosine metabolism,fum_c,Fumarate,1.0,-0.2926531421587364,0.0
FUMAC,Fumarylacetoacetase,Tyrosine metabolism,h2o_c,H2O H2O,-1.0,-0.2926531421587364,0.0
FUMAC,Fumarylacetoacetase,Tyrosine metabolism,h_c,H+,1.0,-0.2926531421587364,0.0
FUMSO3tm,"Fumarate:sulfite antiport, mitochondrial","Transport, Mitochondrial",fum_c,Fumarate,-1.0,0.4889425611328586,488942561132.8586
FUMSO3tm,"Fumarate:sulfite antiport, mitochondrial","Transport, Mitochondrial",fum_m,Fumarate,1.0,0.4889425611328586,488942561132.8586
FUMSO3tm,"Fumarate:sulfite antiport, mitochondrial","Transport, Mitochondrial",so3_c,Sulfite,1.0,0.4889425611328586,488942561132.8586
FUMSO3tm,"Fumarate:sulfite antiport, mitochondrial","Transport, Mitochondrial",so3_m,Sulfite,-1.0,0.4889425611328586,488942561132.8586
FUMtm,"Fumarate transport, mitochondrial","Transport, Mitochondrial",fum_c,Fumarate,-1.0,-0.5589819435161911,0.038421396016623
FUMtm,"Fumarate transport, mitochondrial","Transport, Mitochondrial",fum_m,Fumarate,1.0,-0.5589819435161911,0.038421396016623
FUMtm,"Fumarate transport, mitochondrial","Transport, Mitochondrial",pi_c,Phosphate,1.0,-0.5589819435161911,0.038421396016623
FUMtm,"Fumarate transport, mitochondrial","Transport, Mitochondrial",pi_m,Phosphate,-1.0,-0.5589819435161911,0.038421396016623
H2O2t,Hydrogen peroxide transport via diffusion,"Transport, Extracellular",h2o2_c,Hydrogen peroxide,1.0,-0.4446316693183738,2.1053231283782674
H2O2t,Hydrogen peroxide transport via diffusion,"Transport, Extracellular",h2o2_e,Hydrogen peroxide,-1.0,-0.4446316693183738,2.1053231283782674
H2Otm,H2O transport  mitochondrial,"Transport, Mitochondrial",h2o_c,H2O H2O,-1.0,0.4117599251027205,0.0039193224048607
H2Otm,H2O transport  mitochondrial,"Transport, Mitochondrial",h2o_m,H2O H2O,1.0,0.4117599251027205,0.0039193224048607
H2Otp,H2O transport  peroxisomal,"Transport, Peroxisomal",h2o_c,H2O H2O,-1.0,0.2717700019220218,2.748815118887992
H2Otp,H2O transport  peroxisomal,"Transport, Peroxisomal",h2o_x,H2O H2O,1.0,0.2717700019220218,2.748815118887992
HGNTOR,Homogentisateoxygen 1 2 oxidoreductase  decyclizing ,Tyrosine metabolism,4mlacac_c,4 Maleylacetoacetate C8H6O6,1.0,-0.2926531421587364,0.0
HGNTOR,Homogentisateoxygen 1 2 oxidoreductase  decyclizing ,Tyrosine metabolism,h_c,H+,1.0,-0.2926531421587364,0.0
HGNTOR,Homogentisateoxygen 1 2 oxidoreductase  decyclizing ,Tyrosine metabolism,hgentis_c,Homogentisate C8H7O4,-1.0,-0.2926531421587364,0.0
HGNTOR,Homogentisateoxygen 1 2 oxidoreductase  decyclizing ,Tyrosine metabolism,o2_c,O2 O2,-1.0,-0.2926531421587364,0.0
Htx,"H transporter, peroxisome","Transport, Peroxisomal",h_c,H+,-1.0,0.4777514541130594,2.174441384192723
Htx,"H transporter, peroxisome","Transport, Peroxisomal",h_x,H+,1.0,0.4777514541130594,2.174441384192723
ALATA_L,L-alanine transaminase,Glutamate metabolism,akg_c,2-Oxoglutarate,-1.0,0.5128984703301338,0.7220466378919863
ALATA_L,L-alanine transaminase,Glutamate metabolism,ala__L_c,L-Alanine,-1.0,0.5128984703301338,0.7220466378919863
ALATA_L,L-alanine transaminase,Glutamate metabolism,glu__L_c,L-Glutamate,1.0,0.5128984703301338,0.7220466378919863
ALATA_L,L-alanine transaminase,Glutamate metabolism,pyr_c,Pyruvate,1.0,0.5128984703301338,0.7220466378919863
L_LACt2r,L lactate reversible transport via proton symport,"Transport, Extracellular",h_c,H+,1.0,0.4909245564209997,0.0
L_LACt2r,L lactate reversible transport via proton symport,"Transport, Extracellular",h_e,H+,-1.0,0.4909245564209997,0.0
L_LACt2r,L lactate reversible transport via proton symport,"Transport, Extracellular",lac__L_c,L-Lactate,1.0,0.4909245564209997,0.0
L_LACt2r,L lactate reversible transport via proton symport,"Transport, Extracellular",lac__L_e,L-Lactate,-1.0,0.4909245564209997,0.0
L_LACt4r,L-lactate reversible transport via sodium symport,"Transport, Extracellular",lac__L_c,L-Lactate,1.0,-0.4909245564209997,0.0
L_LACt4r,L-lactate reversible transport via sodium symport,"Transport, Extracellular",lac__L_e,L-Lactate,-1.0,-0.4909245564209997,0.0
L_LACt4r,L-lactate reversible transport via sodium symport,"Transport, Extracellular",na1_c,Sodium,1.0,-0.4909245564209997,0.0
L_LACt4r,L-lactate reversible transport via sodium symport,"Transport, Extracellular",na1_e,Sodium,-1.0,-0.4909245564209997,0.0
ALAtN1,"Alanine transport (Na, H coupled)","Transport, Extracellular",ala__L_c,L-Alanine,1.0,0.3285894203049828,0.0
ALAtN1,"Alanine transport (Na, H coupled)","Transport, Extracellular",ala__L_e,L-Alanine,-1.0,0.3285894203049828,0.0
ALAtN1,"Alanine transport (Na, H coupled)","Transport, Extracellular",h_c,H+,-1.0,0.3285894203049828,0.0
ALAtN1,"Alanine transport (Na, H coupled)","Transport, Extracellular",h_e,H+,1.0,0.3285894203049828,0.0
ALAtN1,"Alanine transport (Na, H coupled)","Transport, Extracellular",na1_c,Sodium,2.0,0.3285894203049828,0.0
ALAtN1,"Alanine transport (Na, H coupled)","Transport, Extracellular",na1_e,Sodium,-2.0,0.3285894203049828,0.0
LALDD,D-lactaldehyde dehydrogenase,Pyruvate Metabolism,h_c,H+,1.0,-0.6942388890393023,0.0
LALDD,D-lactaldehyde dehydrogenase,Pyruvate Metabolism,lald__D_c,D-Lactaldehyde,-1.0,-0.6942388890393023,0.0
LALDD,D-lactaldehyde dehydrogenase,Pyruvate Metabolism,mthgxl_c,Methylglyoxal,1.0,-0.6942388890393023,0.0
LALDD,D-lactaldehyde dehydrogenase,Pyruvate Metabolism,nadp_c,Nicotinamide adenine dinucleotide phosphate,-1.0,-0.6942388890393023,0.0
LALDD,D-lactaldehyde dehydrogenase,Pyruvate Metabolism,nadph_c,Nicotinamide adenine dinucleotide phosphate - reduced,1.0,-0.6942388890393023,0.0
LALDO2x,D-Lactaldehyde:NAD+ 1-oxidoreductase,Pyruvate Metabolism,h_c,H+,-1.0,-0.8551912600026543,0.1085757520487071
LALDO2x,D-Lactaldehyde:NAD+ 1-oxidoreductase,Pyruvate Metabolism,lald__D_c,D-Lactaldehyde,1.0,-0.8551912600026543,0.1085757520487071
