reaction_id,reaction_name,subsystem,compartment,gpr,compartment_readable
EX_5fthf_e,5-Formyltetrahydrofolate exchange,Extracellular exchange,e,,extracellular
EX_5homeprazole_e,5 hydroxy omeprazole exchange,Extracellular exchange,e,,extracellular
EX_34dhoxpeg_e,"3,4-Dihydroxyphenylethyleneglycol exchange",Extracellular exchange,e,,extracellular
EX_5htrp_e,5-Hydroxy-L-tryptophan exchange,Extracellular exchange,e,,extracellular
EX_34dhphe_e,"3,4-Dihydroxy-L-phenylalanine exchange",Extracellular exchange,e,,extracellular
EX_35cgmp_e,"3',5'-Cyclic GMP exchange",Extracellular exchange,e,,extracellular
EX_3aib_e,L-3-Amino-isobutanoate exchange,Extracellular exchange,e,,extracellular
EX_3aib__D_e,D-3-Amino-isobutanoate exchange,Extracellular exchange,e,,extracellular
EX_3mlda_e,3-Methylimidazoleacetic acid exchange,Extracellular exchange,e,,extracellular
EX_4abut_e,4-Aminobutanoate exchange,Extracellular exchange,e,,extracellular
EX_4hdebrisoquine_e,4 hydroxy debrisoquine exchange,Extracellular exchange,e,,extracellular
EX_acald_e,Acetaldehyde exchange,Extracellular exchange,e,,extracellular
DM_Ser_Thr_l,DM Ser FSLASH Thr LPAREN ly RPAREN ,Intracellular demand,l,,l
EX_4hphac_e,4 hydroxyphenylacetate exchange,Extracellular exchange,e,,extracellular
ATPM,ATP maintenance requirement,Biomass and maintenance functions,c,,cytosol
DM_avite1_c,Alpha-Tocopherol demand,Intracellular demand,c,,cytosol
EX_acetone_e,Acetone exchange,Extracellular exchange,e,,extracellular
EX_acgalfucgalacgalfuc12gal14acglcgalgluside_hs_e,Type IIIA glycolipid exchange,Extracellular exchange,e,,extracellular
EX_acgalfucgalacgalfucgalacglcgal14acglcgalgluside_hs_e,Type IIIAb exchange,Extracellular exchange,e,,extracellular
DM_avite2_c,Alpha-Tocotrienol demand,Intracellular demand,c,,cytosol
DM_bvite_c,Beta-tocopherol demand,Intracellular demand,c,,cytosol
EX_4mptnl_e,4-methylpentanal Exchange,Extracellular exchange,e,,extracellular
DM_core5_g,"Demand for Core5, Golgi Apparatus",Intracellular demand,g,,g
EX_acgam_e,N-Acetyl-D-glucosamine exchange,Extracellular exchange,e,,extracellular
EX_ach_e,Acetylcholine exchange,Extracellular exchange,e,,extracellular
EX_acn13acngalgbside_hs_e,"Sialyl (1,3) sialyl (2,6) galactosylgloboside (homo sapiens) exchange",Extracellular exchange,e,,extracellular
EX_acn23acngalgbside_hs_e,"Sialyl (2,3) sialyl (2,6) galactosylgloboside (homo sapiens) exchange",Extracellular exchange,e,,extracellular
EX_4mtolbutamide_e,4 hydroxy tolbutamide exchange,Extracellular exchange,e,,extracellular
EX_acnacngal14acglcgalgluside_hs_e,"3',8'-LD1 exchange",Extracellular exchange,e,,extracellular
EX_acnacngalgbside_hs_e,Disialyl galactosylgloboside (homo sapiens) exchange,Extracellular exchange,e,,extracellular
EX_acngalacglcgal14acglcgalgluside_hs_e,VI3NeuAc-nLc6Cer exchange,Extracellular exchange,e,,extracellular
EX_4nph_e,4-Nitrophenol exchange,Extracellular exchange,e,,extracellular
EX_ade_e,Adenine exchange,Extracellular exchange,e,,extracellular
EX_adn_e,Adenosine exchange,Extracellular exchange,e,,extracellular
EX_adp_e,Adp exchange,Extracellular exchange,e,,extracellular
EX_adprbp_e,ADPribose 2'-phosphate exchange,Extracellular exchange,e,,extracellular
