query,entrez,name,symbol,alias,taxid,MGI
23827,23827,"3'(2'), 5'-bisphosphate nucleotidase 1",Bpnt1,BPntase,10090,MGI:1338800
26363,26363,biotinidase,Btd,,10090,MGI:1347001
94192,94192,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1",C1galt1,"2210410E06Rik, T-synthase",10090,MGI:2151071
17711,17711,cytochrome b,CYTB,,10090,MGI:102501
69719,69719,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",Cad,"2410008J01Rik, Cpad",10090,MGI:1916969
76025,76025,calcium activated nucleotidase 1,Cant1,"5830420C20Rik, Apy1h, D11Bwg0554e, Entpd8, SCAN-1",10090,MGI:1923275
12346,12346,carbonic anhydrase 1,Car1,"Ca1, Car-1",10090,MGI:88268
76459,76459,carbonic anhydrase 12,Car12,"2310047E01Rik, CA-XII, Ca12",10090,MGI:1923709
71934,71934,carbonic anhydrase 13,Car13,"2310075C21Rik, Ca13",10090,MGI:1931322
23831,23831,carbonic anhydrase 14,Car14,"CA-XIV, Ca14",10090,MGI:1344341
12349,12349,carbonic anhydrase 2,Car2,"CAII, Ca2, Car-2, Ltw-5, Lvtw-5",10090,MGI:88269
12350,12350,carbonic anhydrase 3,Car3,"Ca3, Car-3",10090,MGI:88270
12351,12351,carbonic anhydrase 4,Car4,Ca4,10090,MGI:1096574
12352,12352,"carbonic anhydrase 5a, mitochondrial",Car5a,"CAV, Ca5a, Car5",10090,MGI:101946
56078,56078,"carbonic anhydrase 5b, mitochondrial",Car5b,"7330410H16Rik, CAVB, Ca5b, CarVb, D730005F19Rik",10090,MGI:1926249
12354,12354,carbonic anhydrase 7,Car7,Ca7,10090,MGI:103100
230099,230099,carbonic anhydrase 9,Car9,"CAIX, Ca9, MN/CA9",10090,MGI:2447188
12359,12359,catalase,Cat,"2210418N07, Cas-1, Cas1, Cs-1",10090,MGI:88271
12408,12408,carbonyl reductase 1,Cbr1,"CR, Cbr, PG-9-KR",10090,MGI:88284
12411,12411,cystathionine beta-synthase,Cbs,HIP4,10090,MGI:88285
12494,12494,CD38 antigen,Cd38,"ADPRC 1, Cd38-rs1, I-19",10090,MGI:107474
72269,72269,cytidine deaminase,Cda,2210401N16Rik,10090,MGI:1919519
52858,52858,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,Cdipt,"9530042F15Rik, D7Bwg0575e, Pis, Pis1",10090,MGI:105491
12583,12583,"cysteine dioxygenase 1, cytosolic",Cdo1,"1300002L19Rik, Cdo, D18Ucla3",10090,MGI:105925
74596,74596,CDP-diacylglycerol synthase 1,Cds1,4833409J18Rik,10090,MGI:1921846
110911,110911,CDP-diacylglycerol synthase 2,Cds2,"5730450N06Rik, 5730460C18Rik, D2Wsu127e",10090,MGI:1332236
99712,99712,choline/ethanolaminephosphotransferase 1,Cept1,"9930118K05Rik, mCEPT1",10090,MGI:2139793
223753,223753,ceramide kinase,Cerk,"D330016D08Rik, mKIAA1646",10090,MGI:2386052
68018,68018,ceramide transporter 1,Cert1,"2810404O15Rik, 9230101K08Rik, CERT, Col4a3bp, GPBP",10090,MGI:1915268
436059,436059,carboxylesterase 2H,Ces2h,"Ces2, Gm5744",10090,MGI:3648740
12642,12642,cholesterol 25-hydroxylase,Ch25h,m25OH,10090,MGI:1333869
12647,12647,choline O-acetyltransferase,Chat,"B230380D24Rik, CHOACTase",10090,MGI:88392
218865,218865,choline dehydrogenase,Chdh,D630034H06Rik,10090,MGI:1860776
81600,81600,"chitinase, acidic 1",Chia1,"2200003E03Rik, AMCase, Chia, YNL",10090,MGI:1932052
71884,71884,chitinase 1,Chit1,2300002L19Rik,10090,MGI:1919134
12660,12660,choline kinase alpha,Chka,"CK, CK/EK-alpha, Chetk-alpha, Chk, ChoK",10090,MGI:107760
12651,12651,choline kinase beta,Chkb,"Chetk, Chkl, Ck, Ck/Ek, Ck/Ek-beta",10090,MGI:1328313
74241,74241,chondroitin polymerizing factor,Chpf,"1700028N03Rik, D1Bwg1363e",10090,MGI:106576
212862,212862,choline phosphotransferase 1,Chpt1,,10090,MGI:2384841
76969,76969,carbohydrate sulfotransferase 1,Chst1,"2610008E20Rik, C6ST, GST-1, Gst1, KS6ST",10090,MGI:1924219
58250,58250,carbohydrate sulfotransferase 11,Chst11,"1110020P09Rik, C4ST, C4ST-1, C4ST1, C4s",10090,MGI:1927166
