ReactionID,ReactionName,Subsystem,GroupA,GroupB,MeanA,MeanB,Diff(A-B),TestStat,PValue,FDR_BH
EX_3aib__D_e,D-3-Amino-isobutanoate exchange,Extracellular exchange,HFD,SCD,0.0020669916464176653,0.01185054286395142,-0.009783551217533755,662.0,0.3616313977206459,1.0
EX_3aib__D_e,D-3-Amino-isobutanoate exchange,Extracellular exchange,HFD,KD,0.0020669916464176653,0.0,0.0020669916464176653,240.0,0.4416924793246336,1.0
EX_3aib__D_e,D-3-Amino-isobutanoate exchange,Extracellular exchange,HFD,WD,0.0020669916464176653,0.0,0.0020669916464176653,240.0,0.4416924793246336,1.0
EX_3aib__D_e,D-3-Amino-isobutanoate exchange,Extracellular exchange,KD,SCD,0.0,0.01185054286395142,-0.01185054286395142,198.0,0.24992460753458434,1.0
EX_3aib__D_e,D-3-Amino-isobutanoate exchange,Extracellular exchange,KD,WD,0.0,0.0,0.0,72.0,1.0,1.0
EX_3mlda_e,3-Methylimidazoleacetic acid exchange,Extracellular exchange,SCD,WD,0.0,0.0,0.0,222.0,1.0,1.0
EX_3mlda_e,3-Methylimidazoleacetic acid exchange,Extracellular exchange,HFD,SCD,0.0,0.0,0.0,703.0,1.0,1.0
EX_3mlda_e,3-Methylimidazoleacetic acid exchange,Extracellular exchange,HFD,KD,0.0,0.0,0.0,228.0,1.0,1.0
EX_3mlda_e,3-Methylimidazoleacetic acid exchange,Extracellular exchange,HFD,WD,0.0,0.0,0.0,228.0,1.0,1.0
EX_3mlda_e,3-Methylimidazoleacetic acid exchange,Extracellular exchange,KD,SCD,0.0,0.0,0.0,222.0,1.0,1.0
EX_3mlda_e,3-Methylimidazoleacetic acid exchange,Extracellular exchange,KD,WD,0.0,0.0,0.0,72.0,1.0,1.0
EX_4abut_e,4-Aminobutanoate exchange,Extracellular exchange,SCD,WD,0.10868598328288241,0.14694666603131512,-0.03826068274843271,188.0,0.3934145941622763,1.0
EX_4abut_e,4-Aminobutanoate exchange,Extracellular exchange,HFD,SCD,0.09960139868128022,0.10868598328288241,-0.009084584601602191,732.0,0.7412637190809133,1.0
EX_4abut_e,4-Aminobutanoate exchange,Extracellular exchange,HFD,KD,0.09960139868128022,0.16372754961883973,-0.06412615093755951,194.5,0.4267377387259589,1.0
EX_4abut_e,4-Aminobutanoate exchange,Extracellular exchange,HFD,WD,0.09960139868128022,0.14694666603131512,-0.0473452673500349,197.5,0.4699667644578537,1.0
