PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,SampleID,Group,Dataset
-6.474173408639771,5.270156132280207,-1.5329533303584915,2.3866847750213878,-1.8529910357426653,-0.0897358295373799,5.504247720041384,0.5260589829486705,-0.4569859860454462,6.000161805614108,3.1019374010761673,0.18972226605884637,-5.455477340117278,3.3128192740679117,2.301530386141844,0.6108213586488914,4.148560052150591,-1.7962349622726874,2.2175002801161816,1.8185402517511937,SCD_GSE101657_Control_SCD_0_Flux,SCD,GSE101657
-1.6169327705000933,-5.020816073689235,-9.100019248731094,9.863890944261456,-4.367790877937397,-11.392449377125974,18.55604300677663,-2.635779583558247,-6.131949960844297,-22.397137963827262,15.41569466945201,-4.395424303184573,9.599344164320028,-1.2027537188050195,1.6849324837423187,-1.2457483923588253,-6.094466513154947,0.2309891386706777,-4.091393810714013,1.8205359784825648,SCD_GSE101657_Control_SCD_1_Flux,SCD,GSE101657
-8.881738485524142,12.532633713882248,-4.080943553472281,5.706873308484708,-6.115661998439586,-2.716540961208233,3.7738972712737495,-1.3254497123993225,-3.5736836865523234,4.490142981394058,-1.7230925305348688,-1.2060925468181087,-8.45999196590713,-1.1362183282646776,-0.5245149680415817,-2.3853240902469386,1.8169355192267833,-3.9965021773105733,-4.512337922848643,-2.818670160176974,SCD_GSE101657_Control_SCD_2_Flux,SCD,GSE101657
1.238231589984033,1.9591987746973563,1.192123859282404,6.159474230116161,-1.8356811550977794,-6.077461039576226,13.62660472831436,-3.628720891325804,5.119878652915434,9.13685197345679,1.243329950144829,-0.7481419696765695,-4.318671011490734,2.8676478186974004,-2.8397049625803334,-1.42444338492384,4.049567343614686,6.276083471233627,-1.2409107842345248,-0.8148999934627913,SCD_GSE101657_Control_SCD_3_Flux,SCD,GSE101657
-0.7441685236689446,5.1759773454304145,1.5019632308675177,0.2031171012760781,1.3411379207765015,4.477156027607097,4.4845521502813765,-2.2566993048531394,-1.57206812518351,-1.192522309176294,-0.6486577579445685,-1.3543453679086757,3.1480740883039235,0.467753618680792,2.2627506013255454,1.2562151516557913,2.4116821755894824,-3.036175408196691,-1.6292965796554448,1.3247755078229608,SCD_GSE101657_Control_SCD_4_Flux,SCD,GSE101657
-0.8287092545159378,-9.31984049375258,-6.455588695054958,3.092358396399704,4.555289349372245,-2.97081405392429,-0.19703219107256242,-0.45518871182629295,0.1454798043127828,-1.3193048564441854,-0.9772842535912346,1.882135069632244,0.823707513537171,-1.3845971895360465,1.494324285905791,1.4531574012607338,1.8397855472603102,3.7608093364592405,0.9870735132741536,1.6156765878789927,SCD_GSE159090_GSM4819135_SCD_Male_Flux,SCD,GSE159090
3.442293061350864,4.208330137719574,-7.764801579303866,5.2456749511928,5.917070125694402,5.595535004026173,-5.064433514383727,4.630730177143538,-0.5738232102250195,-1.2973962651886157,3.003537581401402,-2.5290123632575274,1.4500296334196021,-1.7827323234640122,3.7498200646815607,3.0863290064704465,3.660839669982163,-4.8796127605577215,-10.830802996948474,-3.598316510354591,SCD_GSE159090_GSM4819136_SCD_Male_Flux,SCD,GSE159090
0.12592419631801885,2.8341784245281123,-7.157315170089667,3.466711919914667,3.1100789747204733,0.5957168840546244,-2.4450470658216923,1.667934570590201,-2.7676802610500544,1.0495684724438796,1.3155337416057549,-1.3011629011598962,0.5009543998691272,-2.478652970505943,0.06354440479113743,4.690816011843477,0.6194448149295251,-1.1091516474305505,-3.6600727667591024,-0.7998779507847897,SCD_GSE159090_GSM4819149_SCD_Male_Flux,SCD,GSE159090
3.2422727177747683,5.050299311755316,-5.095427070329312,1.3744737502066928,-1.1156085425026006,1.2750491213486845,0.12685635107563129,-0.04642802600537194,-1.3501285836639374,-2.675160234627308,-2.2920121208516875,2.724981543399731,3.527539616612227,-3.6479189416333058,-0.6597581320066824,0.1304164294908555,2.412046497130579,3.182261988033079,2.286028365833447,-2.532023688576823,SCD_GSE159090_GSM4819150_SCD_Male_Flux,SCD,GSE159090
2.5121404323183496,-1.3533431543920351,-10.760062241869054,2.375681826629245,8.83702501599822,-2.663471967827032,-2.585232886164424,0.16923420635149297,2.011058568945094,0.9110309558180272,-2.075923457428758,6.264213602821455,1.8467700549327948,-2.5834032527695316,2.5729459276436506,-0.09290627314292148,0.312844466200823,1.953529090887991,2.2389484656742025,3.991202927939813,SCD_GSE159090_GSM4819161_SCD_Male_Flux,SCD,GSE159090
-0.6112994772245296,7.8012681667856,-6.968488045204113,3.794212511705699,7.296165397464589,4.053201393000048,-3.342472792027302,6.494495140431261,-0.7155337549769811,1.229416084081778,3.984709200303625,1.5133584948076553,-2.1958456227416465,-0.3735251891040253,2.2483524584270302,2.5144389463290895,-1.4435407862661067,-2.5782859413757033,-2.1618187693094337,1.6215683659510345,SCD_GSE159090_GSM4819166_SCD_Male_Flux,SCD,GSE159090
1.534052174423419,4.034249289924125,-4.797518804780718,2.975540983449003,2.1328840129445656,0.049991844300253094,-1.5309883883334834,0.014097595158144979,-2.7647296844385534,-1.9458930698682007,-0.6287463063195889,3.632805850586277,1.6588618953066288,-1.863442512204189,2.107782437995435,2.132797286942841,0.9105398432064694,4.009616494972604,-0.8159082907019284,1.871484157314357,SCD_GSE159090_GSM4819171_SCD_Male_Flux,SCD,GSE159090
-0.46650779619866584,8.317247828634917,-4.971110553575271,4.291618732987217,2.6755342361754284,0.6920063492772168,-2.862452852584907,-0.5549774064058962,-2.4807526681577836,0.8754336968137428,-0.5935149202143768,-0.07965895260416962,-1.0138633703397462,-2.4531008180836453,0.7962922776652752,1.7769683189865066,-1.1217207561577323,0.523280551754975,0.5298739708883756,-0.9198463942691112,SCD_GSE159090_GSM4819179_SCD_Male_Flux,SCD,GSE159090
3.285293602917676,5.735474920056946,-6.9812529705493604,7.591004314418697,3.8093953414986115,-1.4182584337171582,3.12863233206106,-0.9151547187645671,-5.716237125864606,-3.892123206343885,-1.8819223405723877,-0.4746722088522357,1.3951683628731124,-7.180469484360305,0.2697234066240591,-1.5269554416001423,-6.981578142479012,6.838351510262595,8.186722712226729,2.760660225895175,SCD_GSE159090_GSM4819186_SCD_Male_Flux,SCD,GSE159090
