strain,cell_type,cell_abundance,n_significant,n_total,response_rate,mean_flux_change,contribution_score,contribution_percent
C57BL6J,LECs,0.39949172503564123,33,3726,0.008856682769726247,0.13827022927017746,0.0004892237814286512,53.59487828109539
C57BL6J,qHSCs,0.037903675695778835,50,3726,0.013419216317767043,0.10701790974193338,5.443333527238827e-05,5.963217834256437
C57BL6J,Cholangiocytes,0.044969937395400734,43,3726,0.011540526033279656,0.09246150953252559,4.798537216638828e-05,5.256838032322253
C57BL6J,Neutrophiles,0.032913903179817766,45,3726,0.012077294685990338,0.09679052167206312,3.847528815263694e-05,4.215000299758289
C57BL6J,"Cx3cr1+, Ccr2+ MdM",0.05113742019463212,24,3726,0.00644122383252818,0.10379273290806018,3.41880360442428e-05,3.7453282117850595
C57BL6J,Dendrites,0.045465815409409284,22,3726,0.005904455179817499,0.1179622953276958,3.166708072519144e-05,3.469155428274652
C57BL6J,aHSCs,0.02597161098369801,45,3726,0.012077294685990338,0.09053286555158056,2.839715417083436e-05,3.1109322136199733
C57BL6J,"Cd207+, Trem2+ Mo-KC",0.022097563999256182,37,3726,0.009930220075147612,0.1197230174376365,2.627126153527986e-05,2.878038880617033
C57BL6J,Timd4+ resKC,0.03898840885142255,25,3726,0.0067096081588835215,0.08627783467706136,2.2570018070348304e-05,2.4725645342710214
C57BL6J,Hepatocytes,0.09387590652699436,11,3726,0.0029522275899087494,0.07980761924009863,2.2118126313252823e-05,2.4230594107730647
C57BL6J,"Ly6c2+, Ccr2+ Mo",0.03176718527242298,27,3726,0.007246376811594203,0.06807522238637514,1.567071160876359e-05,1.7167396866873705
C57BL6J,Transitioning Mo,0.011498171449823343,39,3726,0.010466988727858293,0.1129462522591034,1.359322049128195e-05,1.4891487808521362
C57BL6J,"Cd207-, Trem2+ Mo-KC",0.02026901382259964,22,3726,0.005904455179817499,0.10987511120742709,1.3149576825578709e-05,1.440547242729624
C57BL6J,"Trem2+, Spp1+ MdM",0.014380462406248063,32,3726,0.008588298443370907,0.10425695015587459,1.2876119397158413e-05,1.4105897505806357
C57BL6J,"Ly6c2-, Spn+ Mo",0.015682142193020516,16,3726,0.0042941492216854536,0.16225818979737933,1.0926703185763234e-05,1.1970295588339963
C57BL6J,B cells,0.040476042893448215,14,3726,0.003757380568974772,0.06984884368864892,1.062288435448019e-05,1.1637459493688784
C57BL6J,T cells,0.03663298828488192,13,3726,0.003488996242619431,0.08076843675800552,1.0323204392934822e-05,1.1309157565777506
C57BL6J,MCs,0.007221223578999566,42,3726,0.011272141706924315,0.10024135308083752,8.159511364262725e-06,0.8938813585959184
C57BL6J,DCs,0.0041839707431971735,31,3726,0.008319914117015567,0.174339460433769,6.068804953577508e-06,0.664842706233264
C57BL6J,cAMP qHSCs,0.003967024112068431,50,3726,0.013419216317767043,0.10701790974193338,5.697029366202534e-06,0.6241143767660049
C57BL6J,Cycling,0.007934048224136863,15,3726,0.004025764895330112,0.11646505439793028,3.7199652094198944e-06,0.4075253292604812
C57BL6J,Macrophages,0.010475423045930701,11,3726,0.0029522275899087494,0.11115939946741525,3.4376970167688047e-06,0.3766026104515506
