column,group,dataset,full_name,PC1,PC2,PC3,PC4,PC5
SCD_GSE101657_Control_SCD_0_Flux,SCD,GSE101657,SCD_GSE101657_Control_SCD_0,-6.507198125617606,5.274409111312428,-1.6043866079346711,2.3623394262445534,-1.9075650328619909
SCD_GSE101657_Control_SCD_1_Flux,SCD,GSE101657,SCD_GSE101657_Control_SCD_1,-1.6257455475960052,-4.993794005250454,-9.130449333360298,10.064900298881083,-4.410802626002097
SCD_GSE101657_Control_SCD_2_Flux,SCD,GSE101657,SCD_GSE101657_Control_SCD_2,-8.926755396077215,12.613326996579927,-4.045740037936545,5.80375153458966,-6.044643525912036
SCD_GSE101657_Control_SCD_3_Flux,SCD,GSE101657,SCD_GSE101657_Control_SCD_3,1.2453977222119834,1.9276315615253723,1.3115669816499984,5.973127757758736,-1.9954709988552324
SCD_GSE101657_Control_SCD_4_Flux,SCD,GSE101657,SCD_GSE101657_Control_SCD_4,-0.7490602406664633,5.211220929126333,1.4512286895945261,0.2384199043289051,1.3556014040479174
SCD_GSE159090_GSM4819135_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819135_SCD_Male,-0.8334428078850368,-9.382906596117376,-6.470843656763628,3.1176371310361906,4.433361660728203
SCD_GSE159090_GSM4819136_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819136_SCD_Male,3.458579237223047,4.285326740954456,-7.88883262312534,5.235265932346976,6.437014417021071
SCD_GSE159090_GSM4819149_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819149_SCD_Male,0.12602006240325447,2.8767740778488813,-7.253244762965626,3.552668342488785,3.382317387875978
SCD_GSE159090_GSM4819150_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819150_SCD_Male,3.2580688616175366,5.087506757810299,-5.086072790136185,1.3577921750325985,-1.0844561353687607
SCD_GSE159090_GSM4819161_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819161_SCD_Male,2.524243019804001,-1.3559408296324444,-10.760166288013796,2.5303710588873125,8.66729253381308
SCD_GSE159090_GSM4819166_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819166_SCD_Male,-0.6138703297165309,7.840975637821609,-6.941038737455562,3.972121936933102,7.0773339858821105
SCD_GSE159090_GSM4819171_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819171_SCD_Male,1.5412777261616848,4.053763009428808,-4.7938636656124,3.0581893852639515,2.0088793093427664
SCD_GSE159090_GSM4819179_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819179_SCD_Male,-0.4685494576940348,8.369437815002222,-4.994761697289608,4.417292762085897,2.7819497339315298
SCD_GSE159090_GSM4819186_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819186_SCD_Male,3.30267281014271,5.779144477606556,-6.907385921023,7.776778088985964,3.9249314906502693
SCD_GSE159090_GSM4819194_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819194_SCD_Male,1.9373092854505152,4.145769999941705,-6.873415452238199,5.9075138473846645,5.090558008054839
SCD_GSE159090_GSM4819199_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819199_SCD_Male,1.8214948614620914,4.035207475167275,-7.633935598763955,4.20970742427764,6.823827656683193
SCD_GSE159090_GSM4819200_SCD_Male_Flux,SCD,GSE159090,SCD_GSE159090_GSM4819200_SCD_Male,2.3174230890793464,4.721268160350522,-5.2807528116126425,2.1579816834292527,0.19395011022145847
SCD_GSE160646_GSM4876390_SCD_1w_Flux,SCD,GSE160646,SCD_GSE160646_GSM4876390_SCD_1w,1.6502054666859127,0.02807628908904596,0.7008962919630937,-4.956685888076486,5.090222445720728
SCD_GSE160646_GSM4876394_SCD_1w_Flux,SCD,GSE160646,SCD_GSE160646_GSM4876394_SCD_1w,1.8393589305776774,0.6932889526603302,1.7892866524918718,-4.1068394123315715,5.447315321892378
SCD_GSE160646_GSM4876401_SCD_1w_Flux,SCD,GSE160646,SCD_GSE160646_GSM4876401_SCD_1w,1.7377421190625588,2.2461783376668363,-2.0244961321244968,-9.192235322913602,11.234670643647643
SCD_GSE160646_GSM4876404_SCD_1w_Flux,SCD,GSE160646,SCD_GSE160646_GSM4876404_SCD_1w,2.515317785002775,12.67341699268241,4.348127081339294,-14.118188532518394,10.61450143321061
SCD_GSE160646_GSM4876405_SCD_1w_Flux,SCD,GSE160646,SCD_GSE160646_GSM4876405_SCD_1w,3.731369186778739,2.332975281925594,-0.628870338249903,-5.208545043301374,6.060310424655978
SCD_GSE160646_GSM4876407_SCD_1w_Flux,SCD,GSE160646,SCD_GSE160646_GSM4876407_SCD_1w,0.3828984809107964,-2.0889121160593613,-1.2064555692905778,-5.376620627865337,10.308880545958395
SCD_GSE160646_GSM4876408_SCD_1w_Flux,SCD,GSE160646,SCD_GSE160646_GSM4876408_SCD_1w,0.8131697512846486,-1.3055060496188382,4.151367225914446,-7.386948798337717,12.746316136311055
SCD_GSE188344_NCD_1_Flux,SCD,GSE188344,SCD_GSE188344_NCD_1,16.546813328724642,2.4563480006062113,-3.734827797439556,1.3543295738917163,0.8671414781291034
SCD_GSE188344_NCD_2_Flux,SCD,GSE188344,SCD_GSE188344_NCD_2,19.63383107494228,2.894941093364752,-2.80568659068594,1.5930546659870202,5.535401704640789
SCD_GSE188344_NCD_3_Flux,SCD,GSE188344,SCD_GSE188344_NCD_3,23.182609676168138,-3.445845718385185,2.3259010209561164,7.777405322593982,4.82955377286439
