ReactionID,ReactionName,Subsystem,MetaboliteID,MetaboliteName,Coefficient,Diff(HFD-SCD),Ratio(HFD/SCD)
DESAT16_2,Palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA),Fatty acid elongation,h_c,H+,-1.0,-0.3539485738716181,0.2202892700970592
DESAT16_2,Palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA),Fatty acid elongation,hdcoa_c,Hexadecenoyl-CoA (n-C16:1CoA),1.0,-0.3539485738716181,0.2202892700970592
DESAT16_2,Palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA),Fatty acid elongation,nad_c,Nicotinamide adenine dinucleotide,1.0,-0.3539485738716181,0.2202892700970592
DESAT16_2,Palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA),Fatty acid elongation,nadh_c,Nicotinamide adenine dinucleotide - reduced,-1.0,-0.3539485738716181,0.2202892700970592
DESAT16_2,Palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA),Fatty acid elongation,o2_c,O2 O2,-1.0,-0.3539485738716181,0.2202892700970592
DESAT16_2,Palmitoyl-CoA desaturase (n-C16:0CoA -> n-C16:1CoA),Fatty acid elongation,pmtcoa_c,Palmitoyl-CoA (n-C16:0CoA),-1.0,-0.3539485738716181,0.2202892700970592
DHPR,"6,7-dihydropteridine reductase",Tetrahydrobiopterin,dhbpt_c,"6,7-Dihydrobiopterin",-1.0,-0.3486685396689673,0.0
DHPR,"6,7-dihydropteridine reductase",Tetrahydrobiopterin,h_c,H+,-1.0,-0.3486685396689673,0.0
DHPR,"6,7-dihydropteridine reductase",Tetrahydrobiopterin,nad_c,Nicotinamide adenine dinucleotide,1.0,-0.3486685396689673,0.0
DHPR,"6,7-dihydropteridine reductase",Tetrahydrobiopterin,nadh_c,Nicotinamide adenine dinucleotide - reduced,-1.0,-0.3486685396689673,0.0
DHPR,"6,7-dihydropteridine reductase",Tetrahydrobiopterin,thbpt_c,Tetrahydrobiopterin,1.0,-0.3486685396689673,0.0
FUM,Fumarase,Citric Acid Cycle,fum_c,Fumarate,-1.0,-0.3410432155663243,1.3467668951021343
FUM,Fumarase,Citric Acid Cycle,h2o_c,H2O H2O,-1.0,-0.3410432155663243,1.3467668951021343
FUM,Fumarase,Citric Acid Cycle,mal__L_c,L-Malate,1.0,-0.3410432155663243,1.3467668951021343
FUMAC,Fumarylacetoacetase,Tyrosine metabolism,4fumacac_c,4 Fumarylacetoacetate C8H6O6,-1.0,-0.356930128970032,0.0
FUMAC,Fumarylacetoacetase,Tyrosine metabolism,acac_c,Acetoacetate,1.0,-0.356930128970032,0.0
FUMAC,Fumarylacetoacetase,Tyrosine metabolism,fum_c,Fumarate,1.0,-0.356930128970032,0.0
FUMAC,Fumarylacetoacetase,Tyrosine metabolism,h2o_c,H2O H2O,-1.0,-0.356930128970032,0.0
FUMAC,Fumarylacetoacetase,Tyrosine metabolism,h_c,H+,1.0,-0.356930128970032,0.0
FUMSO4tm,"Fumarate:sulfate antiport, mitochondrial","Transport, Mitochondrial",fum_c,Fumarate,-1.0,-0.6665897639081133,0.0031671008592225
FUMSO4tm,"Fumarate:sulfate antiport, mitochondrial","Transport, Mitochondrial",fum_m,Fumarate,1.0,-0.6665897639081133,0.0031671008592225
FUMSO4tm,"Fumarate:sulfate antiport, mitochondrial","Transport, Mitochondrial",so4_c,Sulfate,1.0,-0.6665897639081133,0.0031671008592225
FUMSO4tm,"Fumarate:sulfate antiport, mitochondrial","Transport, Mitochondrial",so4_m,Sulfate,-1.0,-0.6665897639081133,0.0031671008592225
FUMTSULtm,"Fumarate:thiosulfate antiport, mitochondrial","Transport, Mitochondrial",fum_c,Fumarate,-1.0,0.6838699272221439,683869927222.1439
FUMTSULtm,"Fumarate:thiosulfate antiport, mitochondrial","Transport, Mitochondrial",fum_m,Fumarate,1.0,0.6838699272221439,683869927222.1439
FUMTSULtm,"Fumarate:thiosulfate antiport, mitochondrial","Transport, Mitochondrial",tsul_c,Thiosulfate,1.0,0.6838699272221439,683869927222.1439
FUMTSULtm,"Fumarate:thiosulfate antiport, mitochondrial","Transport, Mitochondrial",tsul_m,Thiosulfate,-1.0,0.6838699272221439,683869927222.1439
GLUt6,"Glutamate transport via Na, H symport and K antiport","Transport, Extracellular",glu__L_c,L-Glutamate,1.0,-0.2240159238676196,0.1828978173072789
GLUt6,"Glutamate transport via Na, H symport and K antiport","Transport, Extracellular",glu__L_e,L-Glutamate,-1.0,-0.2240159238676196,0.1828978173072789
GLUt6,"Glutamate transport via Na, H symport and K antiport","Transport, Extracellular",h_c,H+,1.0,-0.2240159238676196,0.1828978173072789
GLUt6,"Glutamate transport via Na, H symport and K antiport","Transport, Extracellular",h_e,H+,-1.0,-0.2240159238676196,0.1828978173072789
GLUt6,"Glutamate transport via Na, H symport and K antiport","Transport, Extracellular",k_c,Potassium,-1.0,-0.2240159238676196,0.1828978173072789
GLUt6,"Glutamate transport via Na, H symport and K antiport","Transport, Extracellular",k_e,Potassium,1.0,-0.2240159238676196,0.1828978173072789
GLUt6,"Glutamate transport via Na, H symport and K antiport","Transport, Extracellular",na1_c,Sodium,3.0,-0.2240159238676196,0.1828978173072789
GLUt6,"Glutamate transport via Na, H symport and K antiport","Transport, Extracellular",na1_e,Sodium,-3.0,-0.2240159238676196,0.1828978173072789
GLYt2r,Glycine reversible transport via proton symport,"Transport, Extracellular",gly_c,Glycine,1.0,0.2989321490346661,1.1496200169643764
GLYt2r,Glycine reversible transport via proton symport,"Transport, Extracellular",gly_e,Glycine,-1.0,0.2989321490346661,1.1496200169643764
GLYt2r,Glycine reversible transport via proton symport,"Transport, Extracellular",h_c,H+,1.0,0.2989321490346661,1.1496200169643764
GLYt2r,Glycine reversible transport via proton symport,"Transport, Extracellular",h_e,H+,-1.0,0.2989321490346661,1.1496200169643764
H2CO3D,Carboxylic acid dissociation,Miscellaneous,co2_c,CO2 CO2,-1.0,0.2079827916531012,0.2594737855689233
H2CO3D,Carboxylic acid dissociation,Miscellaneous,h2co3_c,Carbonic acid,1.0,0.2079827916531012,0.2594737855689233
H2CO3D,Carboxylic acid dissociation,Miscellaneous,h2o_c,H2O H2O,-1.0,0.2079827916531012,0.2594737855689233
H2CO3D2,Carboxylic acid dissociation,Miscellaneous,h2co3_c,Carbonic acid,1.0,-0.2079827916531012,0.2594737855689233
H2CO3D2,Carboxylic acid dissociation,Miscellaneous,h_c,H+,-1.0,-0.2079827916531012,0.2594737855689233
H2CO3D2,Carboxylic acid dissociation,Miscellaneous,hco3_c,Bicarbonate,-1.0,-0.2079827916531012,0.2594737855689233
H2Ot,H2O transport via diffusion,"Transport, Extracellular",h2o_c,H2O H2O,1.0,-0.2,0.99999999999
H2Ot,H2O transport via diffusion,"Transport, Extracellular",h2o_e,H2O H2O,-1.0,-0.2,0.99999999999
HGNTOR,Homogentisateoxygen 1 2 oxidoreductase  decyclizing ,Tyrosine metabolism,4mlacac_c,4 Maleylacetoacetate C8H6O6,1.0,-0.356930128970032,0.0
HGNTOR,Homogentisateoxygen 1 2 oxidoreductase  decyclizing ,Tyrosine metabolism,h_c,H+,1.0,-0.356930128970032,0.0
HGNTOR,Homogentisateoxygen 1 2 oxidoreductase  decyclizing ,Tyrosine metabolism,hgentis_c,Homogentisate C8H7O4,-1.0,-0.356930128970032,0.0
HGNTOR,Homogentisateoxygen 1 2 oxidoreductase  decyclizing ,Tyrosine metabolism,o2_c,O2 O2,-1.0,-0.356930128970032,0.0
HSD17B1,Testicular 17-beta-hydroxysteroid dehydrogenase,Steroid Metabolism,estradiol_c,Estradiol c,1.0,-0.3642495338168444,364249533816.8444
HSD17B1,Testicular 17-beta-hydroxysteroid dehydrogenase,Steroid Metabolism,estrone_c,Estrone cytosol,-1.0,-0.3642495338168444,364249533816.8444
HSD17B1,Testicular 17-beta-hydroxysteroid dehydrogenase,Steroid Metabolism,h_c,H+,-1.0,-0.3642495338168444,364249533816.8444
HSD17B1,Testicular 17-beta-hydroxysteroid dehydrogenase,Steroid Metabolism,nadp_c,Nicotinamide adenine dinucleotide phosphate,1.0,-0.3642495338168444,364249533816.8444
HSD17B1,Testicular 17-beta-hydroxysteroid dehydrogenase,Steroid Metabolism,nadph_c,Nicotinamide adenine dinucleotide phosphate - reduced,-1.0,-0.3642495338168444,364249533816.8444
HSD17B8r,17-beta-hydroxysteroid dehydrogenase,Steroid Metabolism,estradiol_r,Estradiol c,1.0,0.3642495338168444,364249533816.8444
HSD17B8r,17-beta-hydroxysteroid dehydrogenase,Steroid Metabolism,estrone_r,Estrone cytosol,-1.0,0.3642495338168444,364249533816.8444
HSD17B8r,17-beta-hydroxysteroid dehydrogenase,Steroid Metabolism,h_r,H+,-1.0,0.3642495338168444,364249533816.8444
