ReactionID,ReactionName,Subsystem,MetaboliteID,MetaboliteName,Coefficient,Diff(HFD-SCD),Ratio(HFD/SCD)
ALAtN1,"Alanine transport (Na, H coupled)","Transport, Extracellular",h_e,H+,1.0,0.4051737174866443,0.0
ALAtN1,"Alanine transport (Na, H coupled)","Transport, Extracellular",na1_c,Sodium,2.0,0.4051737174866443,0.0
ALAtN1,"Alanine transport (Na, H coupled)","Transport, Extracellular",na1_e,Sodium,-2.0,0.4051737174866443,0.0
MACACI,Maleylacetoacetate isomerase,Tyrosine metabolism,4fumacac_c,4 Fumarylacetoacetate C8H6O6,1.0,-0.6932768857185558,0.0
MACACI,Maleylacetoacetate isomerase,Tyrosine metabolism,4mlacac_c,4 Maleylacetoacetate C8H6O6,-1.0,-0.6932768857185558,0.0
MALSO3tm,"Malate:sulfite antiport, mitochondrial","Transport, Mitochondrial",mal__L_c,L-Malate,-1.0,-0.3650310706175517,0.0
MALSO3tm,"Malate:sulfite antiport, mitochondrial","Transport, Mitochondrial",mal__L_m,L-Malate,1.0,-0.3650310706175517,0.0
MALSO3tm,"Malate:sulfite antiport, mitochondrial","Transport, Mitochondrial",so3_c,Sulfite,1.0,-0.3650310706175517,0.0
MALSO3tm,"Malate:sulfite antiport, mitochondrial","Transport, Mitochondrial",so3_m,Sulfite,-1.0,-0.3650310706175517,0.0
MALSO4tm,"Malate:sulfate antiport, mitochondrial","Transport, Mitochondrial",mal__L_c,L-Malate,-1.0,1.0955401484978122,0.0
MALSO4tm,"Malate:sulfate antiport, mitochondrial","Transport, Mitochondrial",mal__L_m,L-Malate,1.0,1.0955401484978122,0.0
MALSO4tm,"Malate:sulfate antiport, mitochondrial","Transport, Mitochondrial",so4_c,Sulfate,1.0,1.0955401484978122,0.0
MALSO4tm,"Malate:sulfate antiport, mitochondrial","Transport, Mitochondrial",so4_m,Sulfate,-1.0,1.0955401484978122,0.0
MALtm,Malate transport  mitochondrial,"Transport, Mitochondrial",mal__L_c,L-Malate,-1.0,-0.3921022791088958,2.671405608482524
MALtm,Malate transport  mitochondrial,"Transport, Mitochondrial",mal__L_m,L-Malate,1.0,-0.3921022791088958,2.671405608482524
MALtm,Malate transport  mitochondrial,"Transport, Mitochondrial",pi_c,Phosphate,1.0,-0.3921022791088958,2.671405608482524
MALtm,Malate transport  mitochondrial,"Transport, Mitochondrial",pi_m,Phosphate,-1.0,-0.3921022791088958,2.671405608482524
MTHFC,Methenyltetrahydrofolate cyclohydrolase,Folate Metabolism,10fthf_c,10-Formyltetrahydrofolate,1.0,-0.2944024966655756,0.0
MTHFC,Methenyltetrahydrofolate cyclohydrolase,Folate Metabolism,h2o_c,H2O H2O,-1.0,-0.2944024966655756,0.0
MTHFC,Methenyltetrahydrofolate cyclohydrolase,Folate Metabolism,h_c,H+,1.0,-0.2944024966655756,0.0
MTHFC,Methenyltetrahydrofolate cyclohydrolase,Folate Metabolism,methf_c,"5,10-Methenyltetrahydrofolate",-1.0,-0.2944024966655756,0.0
MTHFD,Methylenetetrahydrofolate dehydrogenase (NADP),Folate Metabolism,methf_c,"5,10-Methenyltetrahydrofolate",1.0,-0.2918006167124412,0.0
MTHFD,Methylenetetrahydrofolate dehydrogenase (NADP),Folate Metabolism,mlthf_c,"5,10-Methylenetetrahydrofolate",-1.0,-0.2918006167124412,0.0
MTHFD,Methylenetetrahydrofolate dehydrogenase (NADP),Folate Metabolism,nadp_c,Nicotinamide adenine dinucleotide phosphate,-1.0,-0.2918006167124412,0.0
MTHFD,Methylenetetrahydrofolate dehydrogenase (NADP),Folate Metabolism,nadph_c,Nicotinamide adenine dinucleotide phosphate - reduced,1.0,-0.2918006167124412,0.0
MCITS,2-methylcitrate synthase,Propanoate Metabolism,2mcit_c,2-Methylcitrate,1.0,-0.3344749532565114,0.1543355745005773
MCITS,2-methylcitrate synthase,Propanoate Metabolism,coa_c,Coenzyme A,1.0,-0.3344749532565114,0.1543355745005773
MCITS,2-methylcitrate synthase,Propanoate Metabolism,h2o_c,H2O H2O,-1.0,-0.3344749532565114,0.1543355745005773
MCITS,2-methylcitrate synthase,Propanoate Metabolism,h_c,H+,1.0,-0.3344749532565114,0.1543355745005773
MCITS,2-methylcitrate synthase,Propanoate Metabolism,oaa_c,Oxaloacetate,-1.0,-0.3344749532565114,0.1543355745005773
MCITS,2-methylcitrate synthase,Propanoate Metabolism,ppcoa_c,Propanoyl-CoA,-1.0,-0.3344749532565114,0.1543355745005773
MDH,Malate dehydrogenase,Citric Acid Cycle,h_c,H+,1.0,-0.7305113411631745,0.3938855681814099
MDH,Malate dehydrogenase,Citric Acid Cycle,mal__L_c,L-Malate,-1.0,-0.7305113411631745,0.3938855681814099
MDH,Malate dehydrogenase,Citric Acid Cycle,nad_c,Nicotinamide adenine dinucleotide,-1.0,-0.7305113411631745,0.3938855681814099
MDH,Malate dehydrogenase,Citric Acid Cycle,nadh_c,Nicotinamide adenine dinucleotide - reduced,1.0,-0.7305113411631745,0.3938855681814099
MDH,Malate dehydrogenase,Citric Acid Cycle,oaa_c,Oxaloacetate,1.0,-0.7305113411631745,0.3938855681814099
ME2,Malic enzyme (NADP),Pyruvate Metabolism,co2_c,CO2 CO2,1.0,-0.2241530614989093,0.4390355864320985
ME2,Malic enzyme (NADP),Pyruvate Metabolism,mal__L_c,L-Malate,-1.0,-0.2241530614989093,0.4390355864320985
ME2,Malic enzyme (NADP),Pyruvate Metabolism,nadp_c,Nicotinamide adenine dinucleotide phosphate,-1.0,-0.2241530614989093,0.4390355864320985
ME2,Malic enzyme (NADP),Pyruvate Metabolism,nadph_c,Nicotinamide adenine dinucleotide phosphate - reduced,1.0,-0.2241530614989093,0.4390355864320985
ME2,Malic enzyme (NADP),Pyruvate Metabolism,pyr_c,Pyruvate,1.0,-0.2241530614989093,0.4390355864320985
NAIt,Na+ / iodide cotransport,"Transport, Extracellular",i_c,I c,1.0,-0.3177614806937486,317761480693.74866
NAIt,Na+ / iodide cotransport,"Transport, Extracellular",i_e,I c,-1.0,-0.3177614806937486,317761480693.74866
NAIt,Na+ / iodide cotransport,"Transport, Extracellular",na1_c,Sodium,2.0,-0.3177614806937486,317761480693.74866
NAIt,Na+ / iodide cotransport,"Transport, Extracellular",na1_e,Sodium,-2.0,-0.3177614806937486,317761480693.74866
NH4tp,Ammonia peroxisomal transport,"Transport, Peroxisomal",nh4_c,Ammonium,-1.0,0.4657688455538506,0.0962314649244463
NH4tp,Ammonia peroxisomal transport,"Transport, Peroxisomal",nh4_x,Ammonium,1.0,0.4657688455538506,0.0962314649244463
NCKt,Na+/Ca2+-K+ exchange,"Transport, Extracellular",ca2_c,Calcium,1.0,-0.2546969649427346,0.0
NCKt,Na+/Ca2+-K+ exchange,"Transport, Extracellular",ca2_e,Calcium,-1.0,-0.2546969649427346,0.0
NCKt,Na+/Ca2+-K+ exchange,"Transport, Extracellular",k_c,Potassium,1.0,-0.2546969649427346,0.0
NCKt,Na+/Ca2+-K+ exchange,"Transport, Extracellular",k_e,Potassium,-1.0,-0.2546969649427346,0.0
NCKt,Na+/Ca2+-K+ exchange,"Transport, Extracellular",na1_c,Sodium,-4.0,-0.2546969649427346,0.0
NCKt,Na+/Ca2+-K+ exchange,"Transport, Extracellular",na1_e,Sodium,4.0,-0.2546969649427346,0.0
NCNt,Na+/Ca2+-NH4+ exchange,"Transport, Extracellular",ca2_c,Calcium,1.0,0.3546969649427346,0.0
NCNt,Na+/Ca2+-NH4+ exchange,"Transport, Extracellular",ca2_e,Calcium,-1.0,0.3546969649427346,0.0
NCNt,Na+/Ca2+-NH4+ exchange,"Transport, Extracellular",na1_c,Sodium,-4.0,0.3546969649427346,0.0
NCNt,Na+/Ca2+-NH4+ exchange,"Transport, Extracellular",na1_e,Sodium,4.0,0.3546969649427346,0.0
NCNt,Na+/Ca2+-NH4+ exchange,"Transport, Extracellular",nh4_c,Ammonium,1.0,0.3546969649427346,0.0
NCNt,Na+/Ca2+-NH4+ exchange,"Transport, Extracellular",nh4_e,Ammonium,-1.0,0.3546969649427346,0.0
O2t,O2 transport  diffusion ,"Transport, Extracellular",o2_c,O2 O2,1.0,-3.33214493909538,0.4497270474045124
O2t,O2 transport  diffusion ,"Transport, Extracellular",o2_e,O2 O2,-1.0,-3.33214493909538,0.4497270474045124
O2tp,O2 transport glycosome,"Transport, Peroxisomal",o2_c,O2 O2,-1.0,-0.3032962002763841,0.3521885355771085
O2tp,O2 transport glycosome,"Transport, Peroxisomal",o2_x,O2 O2,1.0,-0.3032962002763841,0.3521885355771085
OBDHc,"2-Oxobutanoate dehydrogenase, cytosolic","Glycine, Serine, and Threonine Metabolism",2obut_c,2-Oxobutanoate,-1.0,-0.3344749532565114,0.1543355745005773
